certifier_name,title,facility_count,state_count,states,sample_facilities,classification
"MICHELLE LEWIS","CHIEF ACCOUNTING OFFICER",242,15,"AK;AZ;CA;CO;ID;KS;KY;MO;NV;OH;OR;SC;TN;TX;WA","SKYLAKE POST ACUTE; EAST BAY POST-ACUTE; SONOMA POST ACUTE; CENTRAL GARDENS POST ACUTE; MARIN POST ACUTE","Likely External Preparer"
"KEITH GOSS","SENIOR VP OF REIMBURSEMENT",190,26,"AZ;CO;FL;GA;HI;ID;IN;KS;KY;MA;MI;MO;NC;NE;NM;NV;OH;OR;PA;RI;SC;TN;TX;VA;WA;WY","LIFE CARE CENTER OF OSAWATOMIE; LIFE CARE CENTER OF KANSAS CITY; LIFE CARE CENTER OF WICHITA; LIFE CARE CENTER OF PUEBLO; LIFE CARE CENTER OF ALTAMONTE SPRING","Likely External Preparer"
"CHRIS EAMIGUEL","CFO",142,1,"TX","VINTAGE HEATH CARE CENTER; MEMPHIS CONVALESCENT CENTER; GRACE POINTE WELLNESS CENTER; BELTLINE HEALTHCARE CENTER; WHITESBORO HEALTH & REHABILITATION C","Likely Single Chain"
"DIANE MORRIS","VP OF REIMBURSEMENT",141,19,"AL;CA;CT;DE;KY;MA;MD;ME;NC;NH;NJ;NM;PA;RI;TN;VA;VT;WA;WV","THE WILLOWS; MADISON HOUSE; THE RESERVOIR; GLEN RIDGE NURSING CARE CENTER; SAINT JOHN PAUL II CENTER","Likely External Preparer"
"MATTHEW DUDDY","VP-REIMBURSEMENT",120,5,"IN;KY;MI;OH;WI","THE OAKS AT NORTHPOINTE; THE VILLAGES AT HISTORIC SILVERCREST; CEDAR CREEK HEALTH CAMPUS; THE VILLAGES AT OAK RIDGE; PARK TERRACE HEALTH CAMPUS","Multi-State Chain or External"
"KEVIN MANUEL","CHIEF ACCOUNTING OFFICER",118,6,"DE;IN;NC;OH;PA;VA","CENTERBURG TWO  LLC; MID-VALLEY SNF HEALTHCARE  LLC; DANVILLE HEALTHCARE GROUP INC; AUTUMN CARE OF NORFOLK; AUTUMN CARE OF CHESAPEAKE","Multi-State Chain or External"
"TIM MOODY","EXECUTIVE DIRECTOR OF REIMBURSEMENT",91,4,"FL;GA;NC;SC","PRUITTHEALTH - BAMBERG  LLC; PRUITTHEALTH - SOUTHWOOD  LLC; PRUITTHEALTH - RICHMOND  LLC; PRUITTHEALTH - MARIETTA  LLC; PRUITTHEALTH - VIRGINIA PARK","Regional Chain or Consultant"
"MOTI NINIO","CEO",84,3,"IA;IL;SD","HARMONY PALOS; THE GROVE OF LAGRANGE PARK; WARREN BARR OAK LAWN; AVANTARA LIBERTYVILLE; AVANTARA PALOS HEIGHTS","Regional Chain or Consultant"
"ANIS KHAN","CHIEF FINANCIAL OFFICER",76,5,"IN;MI;NC;OH;VA","THE LAURELS OF PENDER; THE LAURELS OF HENDERSONVILLE; THE LAURELS OF NORWORTH; THE LAURELS OF WORTHINGTON; THE LAURELS OF WALDEN PARK","Multi-State Chain or External"
"AARON TRAVITSKY","CHIEF FINANCIAL OFFICER",73,1,"FL","ASPIRE AT EMERALD SHORES; ASPIRE ON EVANS; ASPIRE ON SANTA BARBARA; ASPIRE AT OAKFIELD; ASPIRE AT BROOKSVILLE","Likely Single Chain"
