rpt_rec_num,prvdr_num,npi,prvdr_ctrl_type_cd,fy_bgn_dt,fy_end_dt,rpt_stus_cd,facility_name,address,city,state,zip,certifier_name,certifier_printed_name,certifier_title,certifier_date
1381747,105402,,6,10/01/2023,12/31/2023,2,BRIDGEVIEW CENTER,350 S RIDGEWOOD DR,ORMOND BEACH,FL,32174,MONICA TERRANO,MONICA TERRANO,CFO,03/04/2024
1381755,105855,,6,10/01/2023,12/31/2023,2,RULEME CENTER,2810 RULEME STREET,EUSTIS,FL,32726,MONICA TERRANO,MONICA TERRANO,CFO,03/04/2024
1382035,105398,,6,10/01/2023,12/31/2023,2,TIERRA PINES CENTER,7380 ULMERTON ROAD,LARGO,FL,33771,MONICA TERRANO,MONICA TERRANO,CFO,03/04/2024
1383206,105589,,6,10/01/2023,12/31/2023,2,COQUINA CENTER,170 NORTH CENTER ST,ORMOND BEACH,FL,32174,MONICA TERRANO,MONICA TERRANO,CFO,03/04/2024
1383207,105643,,6,10/01/2023,12/31/2023,2,ISLAND LAKE CENTER,155 LANDOVER PLACE,LONGWOOD,FL,32750,MONICA TERRANO,MONICA TERRANO,CFO,03/04/2024
1383209,105673,,6,10/01/2023,12/31/2023,2,INDIAN RIVER CENTER,7201 GREENBORO DRIVE,WEST MELBOURNE,FL,32904,MONICA TERRANO,MONICA TERRANO,CFO,03/04/2024
1386618,105135,,6,10/01/2023,12/31/2023,2,RIVERWOOD CENTER,2802 PARENTAL HOME ROAD,JACKSONVILLE,FL,32216,MONICA TERRANO,MONICA TERRANO,CFO,03/04/2024
1388300,165797,,1,11/02/2023,12/31/2023,2,SOUTHEAST IOWA HEALTHCARE CENTER,3140 PLANK RD,KEOKUK,IA,52632,,,,
1388314,225294,,5,10/16/2023,12/31/2023,2,ANDOVER MANOR REHAB AND NURSING LLC,89 MORTON STREET,ANDOVER,MA,01810,BENJAMIN FRIEDMAN,BENJAMIN FRIEDMAN,CFO,05/24/2024
1388972,225176,,5,10/16/2023,12/31/2023,2,AGAWAM SOUTH REHAB AND NURSING LLC,65 COOPER STREET,AGAWAM,MA,01001,BENJAMIN FRIENDMAN,BENJAMIN FRIENDMAN,CFO,05/24/2024
1389334,395853,,4,11/01/2023,12/31/2023,2,CRAWFORD CARE CENTER,20881 STATE HIGHWAY 198,SAEGERTOWN,PA,16433,DONALD PARK,DONALD PARK,ADMINISTRATOR,05/30/2024
1389379,105148,,6,12/01/2023,12/31/2023,2,ASPIRE AT EMERALD SHORES,626 NORTH TYNDALL PARKWAY,CALLAWAY,FL,32404,AARON TRAVITSKY,AARON TRAVITSKY,CHIEF FINANCIAL OFFICER,05/29/2024
1389404,225530,,5,10/16/2023,12/31/2023,2,ANDOVER FOREST POST ACUTE CARE,1801 TURNLIKE STREET,NORTH ANDOVER,MA,01845,BENJAMIN FRIEDMAN,BENJAMIN FRIEDMAN,CFO,05/24/2024
1389501,205124,,4,10/01/2023,12/31/2023,2,BREAKWATER COMMONS OPERATONS  LLC,100 COMMONS DRIVE,ROCKLAND,ME,04841,,GLEN CYR,VICE PRESIDENT OF FINANCE,
1389775,106152,,6,11/30/2023,12/31/2023,2,DESTINATION HEALTH AND REHABILITATIO,195 MATTIE M KELLY BLVD,DESTIN,FL,32541,SCOTT PEABODY,SCOTT PEABODY,VP FINANCE,05/27/2024
1389787,225286,,5,10/16/2023,12/31/2023,2,AGAWAM EAST REHAB AND NURSING LLC,464 MAIN STREET,AGAWAM,MA,01001,BENJAMIN FRIEDMAN,BENJAMIN FRIEDMAN,CFO,05/24/2024
1389951,225253,,5,10/16/2023,12/31/2023,2,AGAWAM WEST REHAB AND NURSING LLC,61 COOPER STREET,AGAWAM,MA,01101,BENJAMIN FRIEDMAN,BENJAMIN FRIEDMAN,CFO,05/24/2024
1390048,185167,,5,10/20/2023,12/31/2023,2,HOPKINS CENTER,460 S COLLEGE STREET,WOODBURN,KY,42170,ELI GRINSPAN,ELI GRINSPAN,COO,05/22/2024
1390051,225421,,5,10/16/2023,12/31/2023,2,AYER VALLEY REHAB AND NURSING LLC,400 GROTON ROAD,AYER,MA,01432,BENJAMIN FRIEDMAN,BENJAMIN FRIEDMAN,CFO,05/24/2024
1390149,676436,,4,10/01/2023,12/31/2023,2,THRIVE REHABILITATION OF PEARLAND,3406 BUSINESS CENTER DRIVE,PEARLAND,TX,77581,GLEN POWERS,GLEN POWERS,CFO,05/09/2024
1390166,106000,,6,11/02/2023,12/31/2023,2,ASPIRE ON EVANS,3735 EVANS AVENUE,FORT MYERS,FL,33901,AARON TRAVITSKY,AARON TRAVITSKY,CHIEF FINANCIAL OFFICER,05/28/2024
1390493,105588,,6,11/02/2023,12/31/2023,2,ASPIRE ON SANTA BARBARA,216 SANTA BARBARA BLVD.,CAPE CORAL,FL,33991,AARON TRAVITSKY,AARON TRAVITSKY,CHIEF FINANCIAL OFFICER,05/29/2024
1390496,105951,,6,12/01/2023,12/31/2023,2,ASPIRE AT OAKFIELD,1465 OAKFIELD DRIVE,BRANDON,FL,33511,AARON TRAVITSKY,AARON TRAVITSKY,CHIEF FINANCIAL OFFICER,05/29/2024
1390778,105413,,6,12/01/2023,12/31/2023,2,ASPIRE AT BROOKSVILLE,1445 HOWELL AVENUE,BROOKSVILLE,FL,34601,AARON TRAVITSKY,AARON TRAVITSKY,CHIEF FINANCIAL OFFICER,05/29/2024
1390942,745004,,6,11/15/2023,12/31/2023,2,THE BRIXTON AT HORSESHOE BAY,15101 WEST FM 2147,HORSESHOE BAY,TX,78657,,,,
1390956,105417,,6,11/02/2023,12/31/2023,2,ASPIRE AT THE BAY,2916 HABANA WAY,TAMPA,FL,33614,AARON TRAVITSKY,AARON TRAVITSKY,CHIEF FINANCIAL OFFICER,05/29/2024
1390957,105443,,6,11/02/2023,12/31/2023,2,ASPIRE AT VENICE,1026 ALBEE FARM ROAD,VENICE,FL,34285,AARON TRAVITSKY,AARON TRAVITSKY,CHIEF FINANCIAL OFFICER,05/29/2024
1390970,195497,,6,10/01/2023,12/31/2023,2,RIVERVIEW CARE CENTER,4820 MEDICAL DRIVE,BOSSIER CITY,LA,71112,DAVID STALLARD,DAVID STALLARD,AUTHORIZED REPRESENTATIVE,06/04/2024
1390976,225766,,5,10/16/2023,12/31/2023,2,AGAWAM NORTH REHAB AND NURSING LLC,55 COOPER STREET,AGAWAM,MA,01001-2192,BENJAMIN FRIENDMAN,BENJAMIN FRIENDMAN,CFO,05/24/2024
1391029,045476,,6,10/19/2023,12/31/2023,2,HAMPTON PLACE HEALTHCARE,4375 N. VANTAGE DRIVE SUITE 405,FAYETTEVILLE,AR,72703,,,,
1391042,105452,,6,11/02/2023,12/31/2023,2,ASPIRE AT ENGLEWOOD,1111 DRURY LANE,ENGLEWOOD,FL,34224,AARON TRAVITSKY,AARON TRAVITSKY,CHIEF FINANCIAL OFFICER,05/28/2024
1391334,195582,,6,10/01/2023,12/31/2023,2,MAISON DACADIENS CARE CENTER,2907 EAST SCHAMBERS STREET,BASILE,LA,70515,CHARLES A. MOODY  III,CHARLES A. MOODY  III,MEMBER,06/04/2024
1391687,106029,,6,12/01/2023,12/31/2023,2,ASPIRE AT LAKE MARY,710 NORTH SUN DRIVE,LAKE MARY,FL,32746,AARON TRAVITSKY,AARON TRAVITSKY,CHIEF FINANCIAL OFFICER,06/03/2024
1391726,195477,,6,10/01/2023,12/31/2023,2,FLANNERY OAKS GUEST HOUSE,1642 N FLANNERY ROAD,BATON ROUGE,LA,70815,KIM DELATTE,KIM DELATTE,CONTROLLER,05/28/2024
1391772,395883,,4,11/01/2023,12/31/2023,2,PENNWOOD OPERATING LLC,909 WEST STREET,PITTSBURGH,PA,15221,GEDALIAH WIELGUS,GEDALIAH WIELGUS,CHIEF FINANCIAL OFFICER,06/24/2024
1391807,675898,,4,10/01/2023,12/31/2023,2,CEDAR LAKE NURSING HOME,1611 W. ROYALL BLVD,MALAKOFF,TX,75148,MARY NORWOOD,MARY NORWOOD,OWNER,06/21/2024
1391811,676415,,4,01/01/2024,01/31/2024,2,SHERIDAN MEDICAL LODGE,1119 S. RED RIVER EXPRESSWAY,BURKBURNETT,TX,76354,,,,
1391819,065421,,5,01/01/2024,03/03/2024,2,FLATIRONS HEALTH AND REHAB LLC,1107 CENTURY DRIVE,LOUISVILLE,CO,80027,STACIE DE GOEY,STACIE DE GOEY,ADMINISTRATOR,06/24/2024
1392081,075106,,4,10/01/2023,02/13/2024,2,MIDDLESEX HEALTH CARE CENTER,100 RANDOLPH ROAD,MIDDLETOWN,CT,06457,MIKE MOSIER,MIKE MOSIER,OWNER,07/12/2024
1392424,425057,,4,10/01/2023,12/31/2023,2,ABBEVILLE NURSING HOME  INC,83 THOMPSON CIRCLE,ABBEVILLE,SC,29620,,,,
1392752,065433,,4,01/01/2024,02/07/2024,2,BROOKSIDE REHAB & WELLNESS,1055 S PERRY ST,CASTLE ROCK,CO,80104,,,,
1392944,675109,,6,01/01/2024,01/31/2024,2,ARAPAHO REHABILITATION AND CARE CENT,1111 ROCKINGHAM DRIVE,RICHARDSON,TX,75080,,JENNIFER GARCIA,ADMINISTRATOR,
1393089,265394,,,01/01/2024,03/13/2024,2,JORDAN CREEK NURSING & REHAB,910 W AVE,SPRINGFIELD,MO,65802,,,,
1393138,105305,,6,10/01/2023,12/31/2023,2,FAIRWAY OAKS CENTER,13806 NORTH 46TH STREET,TAMPA,FL,33613,MONICA TERRANO,MONICA TERRANO,CFO,03/04/2024
1393139,105324,,6,10/01/2023,12/31/2023,2,BAYVIEW CENTER,301 S BAY STREET,EUSTIS,FL,32726,,MONICA TERRANO,CFO,
1393460,265707,,,01/01/2024,04/07/2024,2,ASHLAND NURSING AND REHAB LLC,300 S HENRY CLAY BLVD,ASHLAND,MO,65101-9438,,,,
1393461,265709,,,01/01/2024,04/08/2024,2,BELLEFONTAINE GARDENS NURSING & REHA,9500 BELLEFONTAINE RD,ST LOUIS,MO,63137-1336,,,,
1393974,205145,,5,01/01/2024,03/11/2024,2,SEAPORT VILLAGE SKILLED NURSING CTR,19 GENERAL MOORE WAY,ELLSWORTH,ME,04605,ANDREA OTIS-HIGGINS,ANDREA OTIS-HIGGINS,CHIEF OPERATING OFFICER,08/15/2024
1394056,675181,,3,01/01/2024,01/31/2024,2,CARRIAGE HOUSE MANOR,210 PIPELINE RD,SULPHUR SPRINGS,TX,75482,ARVIS TANTON,ARVIS TANTON,OWNER,07/24/2024
1394331,075331,,4,10/01/2023,11/27/2023,2,THE WILLOWS,225 AMITH ROAD,WOODBRIDGE,CT,06525,DIANE MORRIS,DIANE MORRIS,VP OF REIMBURSEMENT,07/05/2024
1394332,075405,,4,10/01/2023,11/27/2023,2,MADISON HOUSE,34 WILDWOOD AVENUE,MADISON,CT,06443,DIANE MORRIS,DIANE MORRIS,VP OF REIMBURSEMENT,07/05/2024
1394333,075407,,4,10/01/2023,11/27/2023,2,THE RESERVOIR,ONE EMILY WAY,WEST HARTFORD,CT,06107,DIANE MORRIS,DIANE MORRIS,VP OF REIMBURSEMENT,07/05/2024
1394899,065405,,6,01/01/2024,02/29/2024,2,PARKER NURSING AND REHAB CENTER,9398 CROWN CREST BOULEVARD,PARKER,CO,80138,BROOKE HIXSON,BROOKE HIXSON,CONTROLLER,07/31/2024
1395124,675890,,5,01/01/2024,02/29/2024,2,REGENT CARE AT THE MEDICAL CENTER,3935 MEDICAL DR,SAN ANTONIO,TX,78229,HAROLD HADLEY,HAROLD HADLEY,CHIEF FINANCIAL OFFICER,07/30/2024
1395125,676153,,5,01/01/2024,02/29/2024,2,REGENT CARE CENTER OF LEAGUE CITY,2620 WEST WALKER,LEAGUE CITY,TX,77573,HAROLD HADLEY,HAROLD HADLEY,CHIEF FINANCIAL OFFICER,07/30/2024
1395357,145880,,6,10/01/2023,12/31/2023,2,HILLVIEW SENIOR LIVING AND REHAB,512 NORTH 11TH ST,VIENNA,IL,62995,,,,
1395463,105764,,4,11/02/2023,12/31/2023,4,ASPIRE AT THE GARDENS - TALLAHASSEE,1650 PHILLIPS ROAD,TALLAHASSEE,FL,32398,AARON TRAVITSKY,AARON TRAVITSKY,CHIEF FINANCIAL OFFICER,05/28/2024
1395538,275123,,5,10/01/2023,12/31/2023,2,RIVER RIDGE REHABILITATION AND NURSI,1415 YELLOWSTONE RIVER RD,BILLINGS,MT,59105,,,,
1395660,225185,,5,10/15/2023,12/31/2023,2,COUNTRY GARDENS HEALTH AND REHAB CTR,2045 GRAND ARMY HIGHWAY,SWANSEA,MA,02777,,,,
1395734,675739,,5,01/01/2024,02/29/2024,2,REGENT CARE CENTER OF THE WOODLANDS,10450 GOSLING RD,THE WOODLANDS,TX,77381,HAROLD HADLEY,HAROLD HADLEY,CHIEF FINANCIAL OFFICER,07/30/2024
1395854,225444,,5,10/15/2023,12/31/2023,2,BLUE HILLS HEALTH AND REHABILIATION,1044 PARK STREET,STOUGHTON,MA,02072,,,,
1395855,225453,,5,10/15/2023,12/31/2023,2,CARVALHO GROVE HEALTH AND REHAB CTR,273 OAK GROVE AVENUE,FALL RIVER,MA,02723,,,,
1395857,225461,,5,10/15/2023,12/31/2023,2,CEDARWOOD GARDENS,130 CHESTNUT STREET,FRANKLIN,MA,02038,,,,
1395863,225549,,5,10/15/2023,12/31/2023,2,BRIGHAM HEALTH AND REHAB CTR,1044 PARK STREET,NEWBURYPORT,MA,01950,,,,
