state,facility_name,state_facility_id,daily_rate,effective_date,source_file
IN,Ambassador Healthcare,100288750,336.75,2025-07-01,IN_2025-07_rates.xlsx
IN,Belltower Health & Rehabilitation Center,201381180,306.58,2025-07-01,IN_2025-07_rates.xlsx
IN,Bertha D Garten Ketcham Memorial Center,100287340,294.54,2025-07-01,IN_2025-07_rates.xlsx
IN,Bethel Manor,100275120,298.36,2025-07-01,IN_2025-07_rates.xlsx
IN,Christian Care Retirement Community,100267760,305.88,2025-07-01,IN_2025-07_rates.xlsx
IN,Compass Park,200090430,288.45,2025-07-01,IN_2025-07_rates.xlsx
IN,Evansville Protestant Home,201272600,267.17,2025-07-01,IN_2025-07_rates.xlsx
IN,Freelandville Community Home,100273640,294.13,2025-07-01,IN_2025-07_rates.xlsx
IN,George Ade Memorial Health Care Center,100267170,296.38,2025-07-01,IN_2025-07_rates.xlsx
IN,Grace Village Health Care Facility,100266260,291.45,2025-07-01,IN_2025-07_rates.xlsx
IN,Greenwood Village South,100453660,321.32,2025-07-01,IN_2025-07_rates.xlsx
IN,Healthwin,100288820,302.5,2025-07-01,IN_2025-07_rates.xlsx
IN,Hillside Manor Nursing Home,100287530,213.99,2025-07-01,IN_2025-07_rates.xlsx
IN,Holy Cross Village at Notre Dame,200325990,307.27,2025-07-01,IN_2025-07_rates.xlsx
IN,Hooverwood,100275310,333.12,2025-07-01,IN_2025-07_rates.xlsx
IN,Hubbard Hill Estates,200823940,306.67,2025-07-01,IN_2025-07_rates.xlsx
IN,"Maple Manor Christian Home, Inc.",100267610,316.94,2025-07-01,IN_2025-07_rates.xlsx
IN,McGivney Health Care Center,100267350,299.5,2025-07-01,IN_2025-07_rates.xlsx
IN,Middletown Nursing and Rehabilitation Center,100289600,298.16,2025-07-01,IN_2025-07_rates.xlsx
IN,Milner Community Health Care,100286940,278.52,2025-07-01,IN_2025-07_rates.xlsx
IN,Morgantown Woods of Journey,100289100,260.83,2025-07-01,IN_2025-07_rates.xlsx
IN,Mulberry Health & Rehabilitation Center,100289210,310.1,2025-07-01,IN_2025-07_rates.xlsx
IN,Newburgh Health Care,100290800,299.67,2025-07-01,IN_2025-07_rates.xlsx
IN,Northern Lakes Nursing and Rehab Center,100275480,297.26,2025-07-01,IN_2025-07_rates.xlsx
IN,Parkview Haven,100267280,313.33,2025-07-01,IN_2025-07_rates.xlsx
IN,Peabody Retirement Community,100291190,311.78,2025-07-01,IN_2025-07_rates.xlsx
IN,Providence Health Care Center,200429840,410.67,2025-07-01,IN_2025-07_rates.xlsx
IN,Pulaski Health Care Center,100267430,294.19,2025-07-01,IN_2025-07_rates.xlsx
IN,Rehabilitation Center at Hartsfield Village,200229550,306.16,2025-07-01,IN_2025-07_rates.xlsx
IN,Robin Run Health Center,100453350,315.76,2025-07-01,IN_2025-07_rates.xlsx
IN,Saint Anne Home,100274960,312.11,2025-07-01,IN_2025-07_rates.xlsx
IN,Saint Anthony Rehab and Nursing Center,100267250,320.94,2025-07-01,IN_2025-07_rates.xlsx
IN,St. Augustine Home for the Aged,100288920,349.1,2025-07-01,IN_2025-07_rates.xlsx
IN,Swiss Village,100274540,321.86,2025-07-01,IN_2025-07_rates.xlsx
IN,The Cedars,100450890,298.89,2025-07-01,IN_2025-07_rates.xlsx
IN,The Health Center at Glenburn Home,100275000,308.76,2025-07-01,IN_2025-07_rates.xlsx
IN,Timbercrest Church of the Brethren Home,100275140,275.5,2025-07-01,IN_2025-07_rates.xlsx
IN,Wesley Manor Health Center,200221050,311.03,2025-07-01,IN_2025-07_rates.xlsx
IN,Westminster Village - West Lafayette,201271750,283.55,2025-07-01,IN_2025-07_rates.xlsx
IN,Westminster Village Health & Rehab,100266400,329.69,2025-07-01,IN_2025-07_rates.xlsx
IN,Westminster Village Muncie,300067850,274.23,2025-07-01,IN_2025-07_rates.xlsx
IN,Westminster Village North,100284600,312.31,2025-07-01,IN_2025-07_rates.xlsx
IN,Adams Heritage,200289420,316.3,2025-07-01,IN_2025-07_rates.xlsx
IN,Adams Woodcrest,100290130,315.05,2025-07-01,IN_2025-07_rates.xlsx
IN,Cathedral Health Care Center,100289030,303.3,2025-07-01,IN_2025-07_rates.xlsx
IN,Chase Center,100275270,308.98,2025-07-01,IN_2025-07_rates.xlsx
IN,Chesterton Manor,100267000,259.3,2025-07-01,IN_2025-07_rates.xlsx
IN,Cloverleaf of Knightsville,100467820,283.83,2025-07-01,IN_2025-07_rates.xlsx
IN,Colonial Nursing Home,100290370,266.15,2025-07-01,IN_2025-07_rates.xlsx
IN,Kendallville Manor,100267140,285.67,2025-07-01,IN_2025-07_rates.xlsx
IN,Manderley Health Care Center,100291300,257.71,2025-07-01,IN_2025-07_rates.xlsx
IN,Oak Village,100266770,266.89,2025-07-01,IN_2025-07_rates.xlsx
IN,Pilgrim Manor,100275260,341.36,2025-07-01,IN_2025-07_rates.xlsx
IN,River Bend Nursing and Rehabilitation,100266510,290.56,2025-07-01,IN_2025-07_rates.xlsx
IN,River Terrace Health Care Center,200395060,274.0,2025-07-01,IN_2025-07_rates.xlsx
IN,Shady Nook Care Center,100266810,251.37,2025-07-01,IN_2025-07_rates.xlsx
IN,Silver Memories Health Care,100273470,283.63,2025-07-01,IN_2025-07_rates.xlsx
IN,Warsaw Meadows,100274920,300.9,2025-07-01,IN_2025-07_rates.xlsx
IN,Woodland Manor,100274880,292.33,2025-07-01,IN_2025-07_rates.xlsx
IN,Yorktown Manor,100283890,266.34,2025-07-01,IN_2025-07_rates.xlsx
IN,Aperion Care Arbors Michigan City,100271060,296.54,2025-07-01,IN_2025-07_rates.xlsx
IN,Aperion Care Demotte,300035944,317.15,2025-07-01,IN_2025-07_rates.xlsx
IN,Aperion Care Greenfield,100274720,345.38,2025-07-01,IN_2025-07_rates.xlsx
IN,Aperion Care Hanover,100291080,297.44,2025-07-01,IN_2025-07_rates.xlsx
