state,provider_number,facility_name,daily_rate,effective_date,city
KS,100001,St. Luke Living Center,308.77,2026-01-01,Marion
KS,100002,Sheridan County Hospital,387.83,2026-01-01,Hoxie
KS,100003,Trego Co. Lemke Memorial LTCU,324.83,2026-01-01,Wakeeney
KS,100004,Salem Home,286.36,2026-01-01,Hillsboro
KS,100005,Mitchell County Hospital LTCU,340.97,2026-01-01,Beloit
KS,100006,F W Huston Medical Center,218.88,2026-01-01,Winchester
KS,100007,Bethesda Home,359.75,2026-01-01,Goessel
KS,100008,Ness County Hospital Dist.#2,347.23,2026-01-01,Ness City
KS,100009,Stanton County Hospital- LTCU,348.60,2026-01-01,Johnson City
KS,100010,"Recover Care Meadowbrook Rehab,LLC",438.08,2026-01-01,Gardner
KS,100011,Attica Long Term Care,349.69,2026-01-01,Attica
KS,100012,Wichita County Health Center,316.38,2026-01-01,Leoti
KS,100013,Anderson County Hospital,336.43,2026-01-01,Garnett
KS,100014,Bethel Care Center,358.32,2026-01-01,North Newton
KS,100015,Paramount Community Living and Rehab,330.49,2026-01-01,Newton
KS,100016,"Peabody Operator, LLC",243.83,2026-01-01,Peabody
KS,100017,Medicalodges Wichita,330.66,2026-01-01,Wichita
KS,100018,Brookdale Overland Park,376.99,2026-01-01,Overland Park
KS,100019,Grand Plains - Skilled Nursing,255.36,2026-01-01,Pratt
KS,100020,Brewster Health Center,362.72,2026-01-01,Topeka
KS,100021,Topeka Presbyterian Manor Inc.,368.68,2026-01-01,Topeka
KS,100022,Valley View Senior Life,288.35,2026-01-01,Junction City
KS,100023,Wheat State Manor,314.17,2026-01-01,Whitewater
KS,100024,Medicalodges Post Acute Care Center,290.60,2026-01-01,Kansas City
KS,100025,Meridian Rehab and Health Care Cente,255.34,2026-01-01,Wichita
KS,100026,Catholic Care Center Inc.,354.77,2026-01-01,Bel Aire
KS,100027,Villa St. Francis Catholic Care Ctr.,365.43,2026-01-01,Olathe
KS,100028,Medicalodges Great Bend,339.89,2026-01-01,Great Bend
KS,100029,"Homestead Health Center, Inc.",332.22,2026-01-01,Wichita
KS,100030,Westview of Derby Rehab & Health,246.87,2026-01-01,Derby
KS,100031,Smoky Hill Rehabilitation Center,256.62,2026-01-01,Salina
KS,100032,Lakepoint Nursing Center-El Dorado,286.61,2026-01-01,El Dorado
KS,100033,Merriam Gardens Healthcare & Rehab,308.88,2026-01-01,Merriam
KS,100034,Medicalodges Atchison,322.20,2026-01-01,Atchison
KS,100035,Advena Living on Woodlawn,242.90,2026-01-01,Wichita
KS,100036,Meadowlark Hills Retirement Communit,354.44,2026-01-01,Manhattan
KS,100037,Advena Living on Tenth,266.63,2026-01-01,Topeka
KS,100038,Kenwood View Health and Rehab Center,297.90,2026-01-01,Salina
KS,100039,Downs Care and Rehab,314.92,2026-01-01,Downs
KS,100040,Pioneer Manor,339.02,2026-01-01,Hugoton
KS,100041,Halstead Health and Rehab Center,253.67,2026-01-01,Halstead
KS,100042,Riverbend Post Acute Rehabilitation,325.75,2026-01-01,Kansas City
KS,100043,Wichita Presbyterian Manor,346.10,2026-01-01,Wichita
KS,100044,Diversicare of Hutchinson,299.18,2026-01-01,Hutchinson
KS,100045,Diversicare of Haysville,229.07,2026-01-01,Haysville
KS,100046,Medicalodges Leavenworth,346.19,2026-01-01,Leavenworth
KS,100047,Brookside Manor,287.53,2026-01-01,Overbrook
KS,100048,Heritage Health Care Center,260.17,2026-01-01,Chanute
KS,100049,Tonganoxie Opco LLC,304.41,2026-01-01,Tonganoxie
KS,100050,Lawrence Presbyterian Manor,355.49,2026-01-01,Lawrence
KS,100051,"Salina Windsor SNF OPCO, LLC",253.35,2026-01-01,Salina
KS,100052,Medicalodges Goddard,296.19,2026-01-01,Goddard
KS,100053,Life Care Center of Andover,238.37,2026-01-01,Andover
KS,100054,Emporia Presbyterian Manor,313.61,2026-01-01,Emporia
KS,100055,Azria Health at Olathe,351.49,2026-01-01,Olathe
KS,100056,McCrite Plaza Health Center,346.56,2026-01-01,Topeka
KS,100057,Sandpiper Healthcare and Rehab Cente,280.43,2026-01-01,Wichita
KS,100058,Rolling Hills Health Center,242.52,2026-01-01,Topeka
KS,100059,Garden Terrace at Overland Park,301.76,2026-01-01,Overland Park
KS,100060,Lakepoint Wichita LLC,304.05,2026-01-01,Wichita
KS,100061,Great Plains Post Acute,307.80,2026-01-01,Wichita
KS,100062,Swan Health at Overland Park,433.54,2026-01-01,Overland Park
KS,100063,Garden Valley Retirement Village,240.32,2026-01-01,Garden City
KS,100064,Delmar Gardens of Lenexa,253.19,2026-01-01,Lenexa
KS,100065,Trinity Manor,300.42,2026-01-01,Dodge City
KS,100066,Overland Park Post Acute,329.38,2026-01-01,Overland Park
KS,100067,Ignite Medical Resort Overland Park,417.40,2026-01-01,Overland Park
KS,100068,Medicalodges Independence,257.20,2026-01-01,Independence
KS,100069,Pinnacle Park Nursing and Rehabilita,318.10,2026-01-01,Salina
KS,100070,Hilltop Lodge Health and Rehab,295.47,2026-01-01,Beloit
KS,100071,Delmar Gardens of Overland Park,340.31,2026-01-01,Overland Park
KS,100072,Salina Presbyterian Manor,338.56,2026-01-01,Salina
KS,100073,Stoneybrook Retirement Community,271.28,2026-01-01,Manhattan
KS,100074,Legacy at College Hill,268.89,2026-01-01,Wichita
KS,100075,Medicalodges Coffeyville on Midland,301.65,2026-01-01,Coffeyville
KS,100076,Atchison Senior Village Rehab & NC,409.14,2026-01-01,Atchison
KS,100077,Medicalodges Fort Scott,249.36,2026-01-01,Fort Scott
KS,100078,Lake Point Nursing Center,266.43,2026-01-01,Augusta
