state,facility_name,state_facility_id,daily_rate,effective_date,source_file
MO,Abbey Senior Health,IR10547,288.1499999999999,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aberdeen Heights,IR10094,341.09999999999997,2025-07-01,MO_SFY2026_rates.xlsx
MO,Abundant Acres Care and Rehab,IR10017,247.1500000000001,2025-07-01,MO_SFY2026_rates.xlsx
MO,Adair Village,IR10076,226.7,2025-07-01,MO_SFY2026_rates.xlsx
MO,Advanced Care of St Joseph,IR10252,286.96000000000004,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aegis Health and Rehabilitation,IR10461,340.25999999999993,2025-07-01,MO_SFY2026_rates.xlsx
MO,Alpine Breeze Health and Wellness,IR10132,296.59,2025-07-01,MO_SFY2026_rates.xlsx
MO,Amberwood Estates Nursing and Rehabilitation,IR10438,242.20999999999998,2025-07-01,MO_SFY2026_rates.xlsx
MO,Anew Healthcare Brookfield,IR10212,283.56,2025-07-01,MO_SFY2026_rates.xlsx
MO,Anew Healthcare Odessa,IR10218,282.25999999999993,2025-07-01,MO_SFY2026_rates.xlsx
MO,Anew Healthcare Sarcoxie,IR10395,226.23000000000002,2025-07-01,MO_SFY2026_rates.xlsx
MO,Apple Ridge Care Center,IR10074,199.72000000000003,2025-07-01,MO_SFY2026_rates.xlsx
MO,Appleton City Manor,IR10158,197.55,2025-07-01,MO_SFY2026_rates.xlsx
MO,Arbor View Nursing and Rehabilitation,IR10347,307.53999999999996,2025-07-01,MO_SFY2026_rates.xlsx
MO,Armour Oaks Senior Living Community,IR10120,315.67999999999995,2025-07-01,MO_SFY2026_rates.xlsx
MO,Arrowhead Senior Living Community,IR10564,208.45999999999998,2025-07-01,MO_SFY2026_rates.xlsx
MO,Ash Grove Healthcare Facility,IR10121,287.76,2025-07-01,MO_SFY2026_rates.xlsx
MO,Ashley Manor Health & Rehabilitation,IR10327,218.09999999999997,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aspen Point Health and Rehabilitation,IR10156,351.25,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aspire Senior Living Advance,IR10326,217.49999999999997,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aspire Senior Living East Prairie,IR10331,225.8,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aspire Senior Living Excelsior Springs,IR10504,246.79000000000002,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aspire Senior Living Jonesburg,IR10359,211.08,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aspire Senior Living Malden,IR10339,217.86999999999998,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aspire Senior Living Moberly,IR10343,217.89,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aspire Senior Living New Florence,IR10217,197.94,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aspire Senior Living Oak Grove,IR10052,254.16000000000003,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aspire Senior Living Platte City,IR10350,255.57999999999998,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aspire Senior Living Poplar Bluff,IR10421,207.32,2025-07-01,MO_SFY2026_rates.xlsx
MO,Athene Nursing and Rehabalitation,IR10155,286.71,2025-07-01,MO_SFY2026_rates.xlsx
MO,Atrium Place Health and Rehabilitation,IR10485,341.2899999999999,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aurora Health and Rehabilitation,IR10096,293.40999999999997,2025-07-01,MO_SFY2026_rates.xlsx
MO,Aurora Nursing,IR10122,228.47999999999993,2025-07-01,MO_SFY2026_rates.xlsx
MO,Autumn Oaks Caring Center,IR10088,206.74,2025-07-01,MO_SFY2026_rates.xlsx
MO,Avalon View Health & Wellness,IR10164,360.41999999999996,2025-07-01,MO_SFY2026_rates.xlsx
MO,Baisch Nursing Center,IR10465,206.26999999999998,2025-07-01,MO_SFY2026_rates.xlsx
MO,Baptist Homes of Independence,IR10187,254.11,2025-07-01,MO_SFY2026_rates.xlsx
MO,"Baptist Homes, Tri-County",IR10108,247.75,2025-07-01,MO_SFY2026_rates.xlsx
