state,facility_name,state_facility_id,daily_rate,effective_date,source_file
RI,Coventry Skilled Nursing and Rehab / Respiratory and Rehabilitation Center of Rhode Island,1912158528,227.47,2024-10-01,RI_2024-10_rates.xlsx
RI,Grandview Center,1891977625,214.04,2024-10-01,RI_2024-10_rates.xlsx
RI,Eastgate Nursing & Rehabilitation Center,1457610552,215.52,2024-10-01,RI_2024-10_rates.xlsx
RI,West View Nursing & Rehabilitation Center,1699280826,220.58,2024-10-01,RI_2024-10_rates.xlsx
RI,Grand Islander Center,1083896815,223.47,2024-10-01,RI_2024-10_rates.xlsx
RI,Brentwood Health Center,1376282616,217.8,2024-10-01,RI_2024-10_rates.xlsx
RI,Warren Skilled Nursing and Rehabilitation,1265683874,220.15,2024-10-01,RI_2024-10_rates.xlsx
RI,Kent Regency,1790967529,219.72,2024-10-01,RI_2024-10_rates.xlsx
RI,Greenville Skilled Nursing & Rehabilitation,1093966608,222.55,2024-10-01,RI_2024-10_rates.xlsx
RI,Sunny View Nursing Home,1295474534,220.3,2024-10-01,RI_2024-10_rates.xlsx
RI,Elderwood of Scallp Shell at Wakefield,1679874135,220.64,2024-10-01,RI_2024-10_rates.xlsx
RI,South Kingstown Nursing & Rehabilitation Center,1396792503,217.54,2024-10-01,RI_2024-10_rates.xlsx
RI,Alpine Rest Home Inc,1316915580,217.3,2024-10-01,RI_2024-10_rates.xlsx
RI,Trinity Health and Rehabilitation Center,1437458684,229.02,2024-10-01,RI_2024-10_rates.xlsx
RI,Hebert Health Center,1710208590,215.07,2024-10-01,RI_2024-10_rates.xlsx
RI,Orchard View Manor,1831443779,217.23,2024-10-01,RI_2024-10_rates.xlsx
RI,Avalon Nursing Home,1891776522,214.28,2024-10-01,RI_2024-10_rates.xlsx
RI,Bannister Center for Rehabilitation,1184008088,224.12,2024-10-01,RI_2024-10_rates.xlsx
RI,Bayview Rehab & Health Scalabrini,1043819212,219.98,2024-10-01,RI_2024-10_rates.xlsx
RI,Berkshire Rehab & Health Scalabrini,1033704721,223.61,2024-10-01,RI_2024-10_rates.xlsx
RI,"Bethany Home of Rhode Island, Inc",1356338248,216.7,2024-10-01,RI_2024-10_rates.xlsx
RI,Bayberry Commons,1073554812,220.4,2024-10-01,RI_2024-10_rates.xlsx
RI,Cedar Crest Nursing Centre,1417954967,221.02,2024-10-01,RI_2024-10_rates.xlsx
RI,Crystal Lake Rehabilitation & Care Center,1518436856,220.54,2024-10-01,RI_2024-10_rates.xlsx
RI,Woonsocket Health Centre,1013903376,224.3,2024-10-01,RI_2024-10_rates.xlsx
RI,Stillwater Assisted Living and Skilled Nursing Community,1730727256,221.57,2024-10-01,RI_2024-10_rates.xlsx
RI,Cra-Mar Meadows Nursing Facility,1447305263,213.75,2024-10-01,RI_2024-10_rates.xlsx
RI,Crestwood Nursing Rehabilitation Center,1205822517,212.68,2024-10-01,RI_2024-10_rates.xlsx
RI,Elmhurst Rehabilitation & Healthcare Center,1881148484,226.17,2024-10-01,RI_2024-10_rates.xlsx
RI,Elmwood Nursing and Rehabilitation,1699717959,215.75,2024-10-01,RI_2024-10_rates.xlsx
RI,Friendly Eden Operations,1184487290,213.09,2024-10-01,RI_2024-10_rates.xlsx
RI,The Cove at Grace Barker,1164462818,211.58,2024-10-01,RI_2024-10_rates.xlsx
RI,Dawn Hill Home Rehab & Healthcare Center,1053906743,224.92,2024-10-01,RI_2024-10_rates.xlsx
RI,Greenwood Rehab and Nursing Center,1003823626,218.87,2024-10-01,RI_2024-10_rates.xlsx
RI,Harris Health Care Center,1043258932,219.41,2024-10-01,RI_2024-10_rates.xlsx
RI,Hattie Ide Chaffee Home,1700912458,216.7,2024-10-01,RI_2024-10_rates.xlsx
RI,Heatherwood Rehabilitation & Health Care Center,1427469105,216.03,2024-10-01,RI_2024-10_rates.xlsx
RI,Heritage Hills Nursing & Rehabilitation Center,1538893888,215.85,2024-10-01,RI_2024-10_rates.xlsx
RI,Jeanne Jugan Residence of the Little Sister,1568445575,217.11,2024-10-01,RI_2024-10_rates.xlsx
RI,Cherry Hill Manor,1275596108,218.59,2024-10-01,RI_2024-10_rates.xlsx
RI,Evergreen House Health Center,1316907843,219.02,2024-10-01,RI_2024-10_rates.xlsx
RI,Lincolnwood Rehabilitation and Healthcare Center,1053925024,225.21,2024-10-01,RI_2024-10_rates.xlsx
RI,The Mansion Nursing Home,1316064140,214.05,2024-10-01,RI_2024-10_rates.xlsx
RI,Briarcliffe Manor,1003895905,214.52,2024-10-01,RI_2024-10_rates.xlsx
RI,Morgan Rehabilitation and Healthcare,1356075600,215.69,2024-10-01,RI_2024-10_rates.xlsx
RI,Mount St. Rita Health Centre,1649276726,215.99,2024-10-01,RI_2024-10_rates.xlsx
RI,Oak Hill Center for Rehabilitation and Nursing,1497207476,218.47,2024-10-01,RI_2024-10_rates.xlsx
RI,Oakland Grove Health Care Center,1356306757,223.09,2024-10-01,RI_2024-10_rates.xlsx
RI,Overlook Nursing & Rehabilitation Center,1760027544,213.94,2024-10-01,RI_2024-10_rates.xlsx
RI,Pawtucket Falls Halthcare Center,1548038151,222.46,2024-10-01,RI_2024-10_rates.xlsx
RI,Golden Crest Nursing Centre,1831185198,216.67,2024-10-01,RI_2024-10_rates.xlsx
RI,Harris Health Care Center - North,1639190796,215.53,2024-10-01,RI_2024-10_rates.xlsx
RI,Riverview Rehabilitation and Health,1235863580,224.1,2024-10-01,RI_2024-10_rates.xlsx
RI,Roberts Health Centre Inc,1306914692,217.14,2024-10-01,RI_2024-10_rates.xlsx
RI,"Royal Westerly, LLC",1801247093,218.94,2024-10-01,RI_2024-10_rates.xlsx
RI,Royal Middletown Nursing Center LLC,1447601638,220.23,2024-10-01,RI_2024-10_rates.xlsx
RI,Saint Antoine Residence,1811038276,217.88,2024-10-01,RI_2024-10_rates.xlsx
RI,"Scandinavian Home, 1811 Broad Street",1922031665,215.12,2024-10-01,RI_2024-10_rates.xlsx
RI,Kingston Center for Rehabilitation,1366997082,212.86,2024-10-01,RI_2024-10_rates.xlsx
RI,Silvercreek Manor,1972198661,211.75,2024-10-01,RI_2024-10_rates.xlsx
RI,South County Nursing and Rehabilitation Center,1487382909,218.87,2024-10-01,RI_2024-10_rates.xlsx
RI,St Elizabeth Home,1053428185,225.43,2024-10-01,RI_2024-10_rates.xlsx
RI,Steere House Nursing & Rehabilitation Center,1730219619,217.78,2024-10-01,RI_2024-10_rates.xlsx
RI,Summit Commons Rehabilitation and Health Care Center,1184892374,233.78,2024-10-01,RI_2024-10_rates.xlsx
