state,facility_name,state_facility_id,daily_rate,effective_date,source_file
VA,ABINGDON HEALTH AND REHAB CENTER,1710256920,261.49,2025-10-01,VA_2025-10_rates.pdf
VA,ALBERMARLE HEALTH & REHABILITATION CENTER,1003490277,285.18,2025-10-01,VA_2025-10_rates.pdf
VA,ALEXANDRIA OPERATOR,1780304055,266.05,2025-10-01,VA_2025-10_rates.pdf
VA,ALLEGHANY HEALTH AND REHAB,1326582198,235.63,2025-10-01,VA_2025-10_rates.pdf
VA,AMELIA REHABILITATION AND HEALTHCARE CENTER,1134702921,239.24,2025-10-01,VA_2025-10_rates.pdf
VA,ANNANDALE VA OPCO LLC,1932724259,292.14,2025-10-01,VA_2025-10_rates.pdf
VA,APPOMATTOX HEALTH & REHABILITATION CENTER,1639753809,300.04,2025-10-01,VA_2025-10_rates.pdf
VA,AUGUSTA NURSING & REHAB CENTER,1457375099,233.33,2025-10-01,VA_2025-10_rates.pdf
VA,AUTUMN CARE MADISON,1194701888,239.83,2025-10-01,VA_2025-10_rates.pdf
VA,AUTUMN CARE OF CHESAPEAKE,1770569410,249.19,2025-10-01,VA_2025-10_rates.pdf
VA,AUTUMN CARE OF MECHANICSVILLE,1366789075,249.05,2025-10-01,VA_2025-10_rates.pdf
VA,AUTUMN CARE OF NORFOLK,1376529925,238.23,2025-10-01,VA_2025-10_rates.pdf
VA,AUTUMN CARE SUFFOLK,1154307890,234.89,2025-10-01,VA_2025-10_rates.pdf
VA,AUTUMN CARE-PORTSMOUTH,1710963459,245.19,2025-10-01,VA_2025-10_rates.pdf
VA,AUTUMN OF ALTAVISTA,1316582133,230.67,2025-10-01,VA_2025-10_rates.pdf
VA,BATTLEFIELD PARK CONV CTR,1972044485,239.83,2025-10-01,VA_2025-10_rates.pdf
VA,BAY POINTE REHABILITATION AND NURSING,1538818703,239.63,2025-10-01,VA_2025-10_rates.pdf
VA,BAYSIDE HEALTH & REHABILITATION CENTER,1528642790,286.44,2025-10-01,VA_2025-10_rates.pdf
VA,BAYSIDE POQUOSON HEALTH AND REHAB,1396289187,275.1,2025-10-01,VA_2025-10_rates.pdf
VA,BEAUFONT HEALTH & REHABILITATION CENTER,1508440785,267.83,2025-10-01,VA_2025-10_rates.pdf
VA,BEDFORD COUNTY NURSING HOME,1669440715,257.71,2025-10-01,VA_2025-10_rates.pdf
VA,"BELMONT BAY OPERATOR, LLC",1750001020,251.32,2025-10-01,VA_2025-10_rates.pdf
VA,BEREA HEALTH & REHAB CENTER,1366115941,308.16,2025-10-01,VA_2025-10_rates.pdf
VA,BERKSHIRE HEALTH & REHABILITATION CENTER,1861076044,237.84,2025-10-01,VA_2025-10_rates.pdf
VA,BERRY HILL NURSING HOME,1649215252,241.16,2025-10-01,VA_2025-10_rates.pdf
VA,BIRCHWOOD PARK REHABILITATION AND NURSING,1396494571,245.88,2025-10-01,VA_2025-10_rates.pdf
VA,BIRMINGHAM GREEN,1477586550,283.44,2025-10-01,VA_2025-10_rates.pdf
VA,BLAND COUNTY N&R CTR (GEORGE KEGLEY),1205814928,254.67,2025-10-01,VA_2025-10_rates.pdf
VA,BLUE RIDGE NURSING THERAPY CONNECTION,1013478411,244.66,2025-10-01,VA_2025-10_rates.pdf
VA,BLUE RIDGE REHABILITATION AND NURSING LLC,1205549581,261.32,2025-10-01,VA_2025-10_rates.pdf
VA,BOWLING GREEN HEALTH & REHABILITATION CENTER,1619551801,243.26,2025-10-01,VA_2025-10_rates.pdf
VA,BRANDON OAKS,1295770162,267.07,2025-10-01,VA_2025-10_rates.pdf
VA,BRIAN CENTER - FINCASTLE,1942288022,201.31,2025-10-01,VA_2025-10_rates.pdf
VA,BRIAN CENTER NURS CR ALLEGHANY,1689652398,250.61,2025-10-01,VA_2025-10_rates.pdf
VA,BRIDGEWATER HOME,1356346274,254.54,2025-10-01,VA_2025-10_rates.pdf
VA,BROOKSIDE REHAB AND NURSING CENTER,1669834032,220.04,2025-10-01,VA_2025-10_rates.pdf
VA,BURKE HEALTH & REHABILITATION CENTER,1861076051,289.99,2025-10-01,VA_2025-10_rates.pdf
VA,CAMERON GLEN H&R CTR (Potomac Falls Health & Rehab Ctr),1710291679,297.47,2025-10-01,VA_2025-10_rates.pdf
VA,CANTERBURY REHABILITATION AND HEALTHCARE CENTER,1811546955,269.35,2025-10-01,VA_2025-10_rates.pdf
VA,CARLIN SPRINGS HEALTH & REHABILITATION,1700597127,286.08,2025-10-01,VA_2025-10_rates.pdf
VA,CARRINGTON PLACE - TAPPAHANNOCK,1346323573,221.12,2025-10-01,VA_2025-10_rates.pdf
VA,CARRINGTON PLACE @ BOUTETOURT,1922039015,236.71,2025-10-01,VA_2025-10_rates.pdf
VA,CARRINGTON PLACE OF WYTHEVILLE,1598796674,209.26,2025-10-01,VA_2025-10_rates.pdf
VA,CEDARS (THE) NH,1386185809,241.28,2025-10-01,VA_2025-10_rates.pdf
VA,CHARLOTTESVILLE HEALTH & REHABILITATION CENTER,1487238671,273.42,2025-10-01,VA_2025-10_rates.pdf
VA,CHASE CITY NURSING & REHAB CTR,1285603142,243.49,2025-10-01,VA_2025-10_rates.pdf
VA,CHATHAM HEALTH AND REHABILITATION,1982831582,253.7,2025-10-01,VA_2025-10_rates.pdf
VA,CHELSEA REHABILITATION AND HEALTHCARE CENTER,1447970702,251.99,2025-10-01,VA_2025-10_rates.pdf
VA,CHESAPEAKE HEALTH & REHABILITATION CENTER,1649854837,257.89,2025-10-01,VA_2025-10_rates.pdf
VA,CHESTERFIELD HC - TYLER'S RETREAT,1376774745,252.09,2025-10-01,VA_2025-10_rates.pdf
VA,CLARKSVILLE HEALTH & REHAB CENTER,1134738248,233.03,2025-10-01,VA_2025-10_rates.pdf
VA,COLISEUM PARK NURSING HOME,1629063821,243.5,2025-10-01,VA_2025-10_rates.pdf
VA,COLONIAL HEALTH & REHAB CENTER,1720697840,254.71,2025-10-01,VA_2025-10_rates.pdf
VA,COLONIAL HEIGHTS REHABILITATION AND NURSING CENTER,1275174567,236.5,2025-10-01,VA_2025-10_rates.pdf
VA,"COLONNADES HEALTH CARE CENTER, THE",1457848699,293.25,2025-10-01,VA_2025-10_rates.pdf
VA,COMMONWEALTH CARE H&R CTR,1538473418,311.87,2025-10-01,VA_2025-10_rates.pdf
VA,CONSULATE HEALTH - ASHLAND CONV CTR,1922173400,227.01,2025-10-01,VA_2025-10_rates.pdf
VA,CONSULATE NORFOLK (TANDEM HEALTHCARE @ NORFOLK),1285658849,193.45,2025-10-01,VA_2025-10_rates.pdf
VA,CONTINUING CARE AT ASHBY PONDS,1871831222,302.81,2025-10-01,VA_2025-10_rates.pdf
VA,"COURTLAND OPERATING, LLC",1790449163,235.74,2025-10-01,VA_2025-10_rates.pdf
VA,CULPEPER BAPTIST RETIREMENT,1437128154,301.86,2025-10-01,VA_2025-10_rates.pdf
VA,CULPEPER HEALTH & REHABILITATION CENTER,1265016455,283.08,2025-10-01,VA_2025-10_rates.pdf
VA,DEER MEADOWS REHABILITATION AND NURSING,1578276853,244.94,2025-10-01,VA_2025-10_rates.pdf
VA,DINWIDDIE HEALTH & REHAB CENTER,1497922843,285.22,2025-10-01,VA_2025-10_rates.pdf
VA,DOCKSIDE HEALTH & REHAB CENTER,1497135727,235.01,2025-10-01,VA_2025-10_rates.pdf
VA,DOGWOOD VILLAGE OF ORANGE COUNTY,1932216546,250.32,2025-10-01,VA_2025-10_rates.pdf
VA,DUNN LORING VA OPCO LLC,1053965558,278.76,2025-10-01,VA_2025-10_rates.pdf
VA,ELIZABETH ADAM CRUMP HEALTH AND REHAB,1396289179,263.74,2025-10-01,VA_2025-10_rates.pdf
VA,EMPORIA REBABILITATION AND HEALTHCARE CENTER,1508520974,224.48,2025-10-01,VA_2025-10_rates.pdf
VA,EVERGREEN HEALTH & REHABILITATION CENTER,1487221107,239.79,2025-10-01,VA_2025-10_rates.pdf
VA,FAIRFAX REHABILITATION AND NURSING CENTER,1033718382,295.65,2025-10-01,VA_2025-10_rates.pdf
VA,FAIRMONT CROSSING HEALTH AND REHAB CENTER,1174297063,259.3,2025-10-01,VA_2025-10_rates.pdf
VA,FAIR OAKS HEALTH & REHABILITATION,1972214393,286.98,2025-10-01,VA_2025-10_rates.pdf
VA,FALLS RUN NURSING & REHABILITATION CTR,1891019733,277.43,2025-10-01,VA_2025-10_rates.pdf
VA,FAUQUIER OPCO LLC,1699509869,285.56,2025-10-01,VA_2025-10_rates.pdf
VA,FARMVILLE REHABILITATION & HEALTH CARE CENTER,1225522261,234.05,2025-10-01,VA_2025-10_rates.pdf
VA,"FOREST HEALTH & REHAB CENTER, LLC",1811580087,258.71,2025-10-01,VA_2025-10_rates.pdf
VA,FOREST HILL HEALTH & REHABILITATION,1598480071,259.99,2025-10-01,VA_2025-10_rates.pdf
VA,FRANKLIN HEALTH & REHABILITATION CENTER,1154905354,257.18,2025-10-01,VA_2025-10_rates.pdf
VA,FREDERICKSBURG HEALTH AND REHAB,1255875027,278.77,2025-10-01,VA_2025-10_rates.pdf
VA,FREDERICKSBURG HEALTH CARE,1912153164,285.0,2025-10-01,VA_2025-10_rates.pdf
VA,FRIENDSHIP HEALTH AND REHABILITATION CENTER SOUTH,1346616422,267.75,2025-10-01,VA_2025-10_rates.pdf
VA,FRIENDSHIP MANOR,1417954140,258.59,2025-10-01,VA_2025-10_rates.pdf
VA,FRIENDSHIP RL LLC,1932981230,269.92,2025-10-01,VA_2025-10_rates.pdf
VA,GAINESVILLE HEALTH & REHAB,1689608473,289.4,2025-10-01,VA_2025-10_rates.pdf
VA,GALAX HEALTH AND REHAB (formally Blue Ridge),1336683101,241.01,2025-10-01,VA_2025-10_rates.pdf
