state,provider_number,facility_name,daily_rate,effective_date,city
CA,206344001.0,ACC CARE CENTER,404.32,2026-01-01,
CA,206301202.0,ADVANCED REHAB CENTER OF TUS,341.42,2026-01-01,
CA,206190090.0,ALAMEDA CARE CENTER,265.32,2026-01-01,
CA,206010953.0,ALAMEDA HEALTHCARE & WELLNES,289.80,2026-01-01,
CA,206190011.0,ALAMITOS BELMONT HEALTH AND,331.13,2026-01-01,
CA,206301089.0,ALAMITOS WEST HEALTH & REHAB,314.77,2026-01-01,
CA,206190012.0,ALCOTT REHAB HOSPITAL,312.28,2026-01-01,
CA,206190013.0,ALDEN TERRACE CONVALESCENT,257.33,2026-01-01,
CA,206190018.0,ALHAMBRA HEALTHCARE,318.92,2026-01-01,
CA,206014308.0,ALL SAINTS MAUBERT,326.95,2026-01-01,
CA,206010854.0,ALL SAINTS SUBACUTE &,261.88,2026-01-01,
CA,206500872.0,ALMOND VISTA HEALTHCARE,286.81,2026-01-01,
CA,206301287.0,ALTA GARDENS CARE CENTER,275.74,2026-01-01,
CA,206190454.0,ALTA VIEW POST ACUTE,352.56,2026-01-01,
CA,206331091.0,ALTA VISTA HEALTHCARE CENTER,288.02,2026-01-01,
CA,206190120.0,ALVARADO CARE CENTER,279.21,2026-01-01,
CA,206370793.0,AMAYA SPRINGS HEALTH CARE,301.33,2026-01-01,
CA,206344052.0,AMERICAN RIVER CENTER,316.83,2026-01-01,
CA,206301120.0,ANAHEIM CREST NURSING CT,296.41,2026-01-01,
CA,206301094.0,ANAHEIM HEALTHCARE CTR,342.30,2026-01-01,
CA,206301176.0,ANAHEIM POINT,285.51,2026-01-01,
CA,206301243.0,ANAHEIM TERRACE CARE CTR,318.68,2026-01-01,
CA,206244044.0,ANBERRY TRANSITIONAL CARE,378.44,2026-01-01,
CA,206190032.0,ANGELS NURSING HEALTH CENTER,316.90,2026-01-01,
CA,206194202.0,ANTELOPE VALLEY CARE CENTER,325.92,2026-01-01,
CA,206364080.0,APPLE VALLEY CARE CENTER,326.12,2026-01-01,
CA,206490956.0,APPLE VALLEY POST-ACUTE REHA,411.16,2026-01-01,
CA,206190251.0,ARARAT CONV HOSPITAL,363.40,2026-01-01,
CA,206194558.0,ARARAT NURSING FACILITY,333.18,2026-01-01,
CA,206190888.0,ARARAT POST ACUTE,573.15,2026-01-01,
CA,206190674.0,ARBOR GLEN CARE CENTER,292.33,2026-01-01,
CA,206370735.0,ARBOR HILLS NURSING CTR,331.89,2026-01-01,
CA,206044005.0,ARBOR POST ACUTE,322.71,2026-01-01,
CA,206392330.0,ARBOR REHABILITATION & NURSI,345.78,2026-01-01,
CA,206190036.0,ARCADIA CARE CENTER,313.56,2026-01-01,
CA,206340788.0,ARDEN PARK POST ACUTE,358.13,2026-01-01,
CA,206334559.0,ARLINGTON GARDENS CARE CNTR,328.22,2026-01-01,
CA,206361102.0,ARROWHEAD HEALTHCARE CENTER,290.39,2026-01-01,
CA,206361332.0,ARROWHEAD SPRINGS HEALTHCARE,287.55,2026-01-01,
CA,206400527.0,ARROYO GRANDE CARE CENTER,302.56,2026-01-01,
CA,206370655.0,ARROYO VISTA NURSING CTR,337.60,2026-01-01,
CA,206190618.0,ARTESIA CHRISTIAN HOME INC,371.91,2026-01-01,
CA,206190795.0,ARTESIA PALMS CARE CENTER,298.87,2026-01-01,
CA,206150060.0,ARVIN POST ACUTE,266.70,2026-01-01,
CA,206340825.0,ASBURY PARK NURSING AND,363.93,2026-01-01,
CA,206010744.0,ASHBY CARE CENTER,211.27,2026-01-01,
CA,206364042.0,ASISTENCIA VILLA REHAB,332.63,2026-01-01,
CA,206190042.0,ASTORIA NURSING & REHAB,320.84,2026-01-01,
CA,206410820.0,ATHERTON PARK POST-ACUTE,377.74,2026-01-01,
CA,206190010.0,ATLANTIC MEM HEALTHCARE CTR,307.40,2026-01-01,
CA,206420523.0,ATTERDAG CARE CENTER,329.20,2026-01-01,
CA,206312834.0,AUBURN OAKS CARE CENTER,396.03,2026-01-01,
CA,206312230.0,AUBURN RAVINE HEALTHCARE CTR,377.76,2026-01-01,
CA,206042208.0,AUTUMN CREEK POST ACUTE,323.77,2026-01-01,
CA,206190320.0,AUTUMN HILLS HEALTHCARE CNTR,294.67,2026-01-01,
CA,206190310.0,AVALON VILLA CARE CENTER,311.52,2026-01-01,
CA,206371658.0,AVIARA HEALTHCARE CENTER,314.27,2026-01-01,
CA,206010874.0,AVONDALE VILLA POST-ACUTE,339.67,2026-01-01,
CA,206154007.0,BAKERSFIELD POST ACUTE,269.99,2026-01-01,
CA,206370719.0,BALBOA NURSING & REHAB,320.39,2026-01-01,
CA,206190285.0,BALDWIN GARDENS NURSING,342.63,2026-01-01,
CA,206010747.0,BANCROFT HEALTHCARE CENTER,283.26,2026-01-01,
CA,206010808.0,BAY AREA HEALTHCARE CENTER,496.00,2026-01-01,
CA,206190055.0,BAY CREST CARE CENTER,317.93,2026-01-01,
CA,206010904.0,BAY MARINA POST ACUTE,352.37,2026-01-01,
CA,206010974.0,BAY POINT HEALTHCARE CTR,372.40,2026-01-01,
CA,206010952.0,BAY VIEW REHABILITATION HOSP,310.00,2026-01-01,
CA,206190056.0,BAY VISTA HEALTHCARE,325.50,2026-01-01,
CA,206070896.0,BAYBERRY SKILLED NURSING & H,381.99,2026-01-01,
CA,206400497.0,BAYSIDE CARE CENTER,302.64,2026-01-01,
CA,206014238.0,BAYWOOD COURT HLTH CTR,459.81,2026-01-01,
CA,206304033.0,BEACH CREEK POST-ACUTE,350.93,2026-01-01,
CA,206301184.0,BEACHSIDE NURSING CENTER,367.01,2026-01-01,
CA,206190666.0,BEACHSIDE POST ACUTE,307.80,2026-01-01,
CA,206190087.0,BEACHWOOD POST-ACUTE & REHAB,307.33,2026-01-01,
CA,206190189.0,BEACON HEALTHCARE CENTER,337.22,2026-01-01,
CA,206190062.0,BEL VISTA HEALTHCARE CENTER,346.75,2026-01-01,
CA,206190063.0,BELL CONV HOSPITAL,283.98,2026-01-01,
CA,206371270.0,BELLA VISTA HEALTH CENTER,309.47,2026-01-01,
CA,206010851.0,BELLAKEN SKILLED NURSING,288.95,2026-01-01,
CA,206190505.0,BELLEFONTAINE HEALTHCARE,307.84,2026-01-01,
CA,206190067.0,BELLFLOWER POST ACUTE,357.22,2026-01-01,
CA,206410734.0,BELMONT HEALTHCARE CENTER,393.10,2026-01-01,
CA,206010757.0,BERKELEY PINES SKILLED NURSI,312.53,2026-01-01,
CA,206190072.0,BERKLEY EAST HEALTHCARE CENT,474.79,2026-01-01,
CA,206190073.0,BERKLEY POST-ACUTE,287.42,2026-01-01,
CA,206190071.0,BERKLEY WEST HEALTHCARE,393.53,2026-01-01,
CA,206390796.0,BETHANY HOME SOC SAN JOA,364.97,2026-01-01,
CA,206010760.0,BETHESDA HOME,321.11,2026-01-01,
