state,provider_number,facility_name,daily_rate,effective_date,city
FL,205745,Abbey Delray,298.19,2025-10-01,DELRAY BEACH
FL,206865,Abbey Delray South,289.53,2025-10-01,DELRAY BEACH
FL,151506,Advanced Care Center and Rehab,295.43,2025-10-01,LAUDERDALE LAKES
FL,1096155,Advinia Care at Venice,250.41,2025-10-01,VENICE
FL,1096157,AdviniaCare at Naples,252.12,2025-10-01,NAPLES
FL,261254,Alhambra Healthcare and Rehabilitation Center,324.36,2025-10-01,SAINT PETERSBURG
FL,1128403,Alliance Health and Rehabilitation Center,298.23,2025-10-01,DELAND
FL,227251,Alpine Health and Rehabilitation Center,312.04,2025-10-01,ST PETERSBURG
FL,324370,Ambassador Healthcare at College Park,302.87,2025-10-01,FORT MYERS
FL,1109202,Anchor Care and Rehabilitation Center,261.69,2025-10-01,PALM BAY
FL,227633,Apollo Healthcare and Rehabilitation Center,320.31,2025-10-01,SAINT PETERSBURG
FL,1085549,Apopka Health and Rehabilitation Center,320.54,2025-10-01,WINTER HAVEN
FL,15613,Arabella Health and Wellness of Carrabelle,344.87,2025-10-01,CARRABELLE
FL,263478,Arbor Trail Rehab and Skilled Nursing Center,325.78,2025-10-01,INVERNESS
FL,100509,Arcadia Health and Rehabilitation Center,297.87,2025-10-01,PENSACOLA
FL,1108713,Aspire at Arbor Springs,274.99,2025-10-01,OCALA
FL,43857,Aspire at Beneva,272.27,2025-10-01,FORT MYERS
FL,43878,Aspire at Big Bend,306.60,2025-10-01,PERRY
FL,147672,Aspire at Bradenton,307.97,2025-10-01,
FL,43874,Aspire at Brentwood,277.03,2025-10-01,
FL,43832,Aspire at Brooksville,267.61,2025-10-01,BROOKSVILLE
FL,43876,Aspire at Bryan Dairy,277.09,2025-10-01,LARGO
FL,43856,Aspire at Central Park,297.10,2025-10-01,WINTER GARDEN
FL,43854,Aspire at Colonial Lakes,254.38,2025-10-01,WINTER GARDEN
FL,43851,Aspire at Coral Bay,297.57,2025-10-01,WEST PALM BEACH
FL,43872,Aspire at Countryside,296.41,2025-10-01,
FL,60972,Aspire at Emerald Shores,300.45,2025-10-01,CALLAWAY
FL,59855,Aspire at Englewood,302.84,2025-10-01,
FL,43866,Aspire at Fletcher,308.92,2025-10-01,
FL,43864,Aspire at Grand Oaks,269.96,2025-10-01,PALM COAST
FL,43875,Aspire at Green Cove Springs,272.60,2025-10-01,GREEN COVE SPRINGS
FL,47788,Aspire at Greenacres,298.97,2025-10-01,GREENACRES
FL,43839,Aspire at Kissimmee Gardens,306.25,2025-10-01,KISSIMMEE
