state,provider_number,facility_name,daily_rate,effective_date,city
IA,1285638148.0,Aase Haugen Home,277.56,2025-07-01,
IA,1770544934.0,Accura Healthcare Of Ames,215.76,2025-07-01,
IA,1356807101.0,Accura Healthcare Of Aurelia,220.16,2025-07-01,
IA,1750809109.0,Accura Healthcare Of Bancroft,237.66,2025-07-01,
IA,1396263745.0,Accura Healthcare Of Carroll,240.14,2025-07-01,
IA,1134892748.0,Accura Healthcare Of Cascade,252.82,2025-07-01,
IA,1336100585.0,Accura Healthcare Of Cherokee,225.85,2025-07-01,
IA,1477071827.0,Accura Healthcare Of Cresco,246.74,2025-07-01,
IA,1639511868.0,Accura Healthcare Of Knoxville,222.93,2025-07-01,
IA,1881336402.0,Accura Healthcare Of Lake City Llc,242.32,2025-07-01,
IA,1770050676.0,Accura Healthcare Of Le Mars,256.42,2025-07-01,
IA,1386162741.0,Accura Healthcare Of Marshalltown,185.23,2025-07-01,
IA,1376061739.0,Accura Healthcare Of Milford,232.32,2025-07-01,
IA,1942261193.0,Accura Healthcare Of Newton East,192.25,2025-07-01,
IA,1295797579.0,Accura Healthcare Of Ogden,218.95,2025-07-01,
IA,1699736850.0,Accura Healthcare Of Pleasantville,217.33,2025-07-01,
IA,1639537426.0,Accura Healthcare Of Pomeroy,260.52,2025-07-01,
IA,1629695416.0,Accura Healthcare Of Shenandoah,226.70,2025-07-01,
IA,1407817653.0,Accura Healthcare Of Sioux City,244.22,2025-07-01,
IA,1457879819.0,Accura Healthcare Of Spirit Lake,226.99,2025-07-01,
IA,1376089722.0,Accura Healthcare Of Stanton,211.31,2025-07-01,
IA,1669711206.0,Adel Acres,212.44,2025-07-01,
IA,1780659599.0,Akron Care Center,265.50,2025-07-01,
IA,1922091131.0,Algona Manor Care Center,229.24,2025-07-01,
IA,1710518246.0,Altoona Nursing & Rehabilitation,247.31,2025-07-01,
IA,1659330470.0,Anamosa Care Center,222.29,2025-07-01,
IA,1497372155.0,Arbor Court,230.95,2025-07-01,
IA,1285227322.0,Aspire Of Estherville,207.66,2025-07-01,
IA,1629661764.0,Aspire of Gowrie,259.92,2025-07-01,
IA,1760075709.0,Aspire Of Muscatine,186.72,2025-07-01,
IA,1134712177.0,Aspire Of Perry,214.79,2025-07-01,
IA,1205429255.0,Aspire Of Plesant Valley,199.16,2025-07-01,
IA,1104419159.0,Aspire of Sutherland,260.30,2025-07-01,
IA,1194318147.0,Aspire of Washington,218.65,2025-07-01,
IA,1205829595.0,Atlantic Specialty Care,221.61,2025-07-01,
IA,1548230006.0,Avoca Specialty Care,240.62,2025-07-01,
IA,1649831678.0,Azria Health Clarinda,262.92,2025-07-01,
IA,1902481153.0,Azria Health Longview,278.90,2025-07-01,
IA,1023679057.0,Azria Health Park Place,286.31,2025-07-01,
IA,1598325524.0,Azria Health Prairie Ridge,270.39,2025-07-01,
IA,1093390247.0,Azria Health Rose Vista,266.73,2025-07-01,
IA,1568432466.0,Bedford Specialty Care,216.18,2025-07-01,
IA,1245200898.0,Belle Plaine Specialty Care,226.28,2025-07-01,
IA,1053405803.0,Bethany Home,286.82,2025-07-01,
IA,1952456444.0,Bethany Life,268.12,2025-07-01,
IA,1003807280.0,Bethany Lutheran Home,300.76,2025-07-01,
IA,1699029322.0,Bettendorf Health Care Center,205.37,2025-07-01,
IA,1821620097.0,Birkwood Village Of Fort Madison,309.46,2025-07-01,
IA,1568810372.0,Bishop Drumm,284.35,2025-07-01,
IA,1649242074.0,Black Hawk Life Care Center,256.60,2025-07-01,
IA,1053611707.0,Briarwood Healthcare Center,225.66,2025-07-01,
IA,1255828919.0,Brio Of Johnston Llc,308.00,2025-07-01,
IA,1164416905.0,Brooklyn Community Estate,236.15,2025-07-01,
IA,1134262041.0,Buchanan County Health Center,272.68,2025-07-01,
IA,1447248372.0,Calvin Community,310.16,2025-07-01,
IA,1003100546.0,Careage Hills Rehab & Healthcare,236.82,2025-07-01,
IA,1992442479.0,Caring Acres Nursing And Rehab Cent,206.96,2025-07-01,
IA,1811353519.0,Casa De Paz Health Care Center,214.63,2025-07-01,
IA,1093171795.0,Cedar Falls Health Care Center,227.48,2025-07-01,
