state,provider_number,facility_name,daily_rate,effective_date,city
MA,110188395A,ABBOTT SKILLED NURSING AND REHABILITATION,602.54,2025-10-01,LYNN
MA,110025944A,"ABERJONA NURSING CENTER, INC.",594.98,2025-10-01,WINCHESTER
MA,110157998A,ADVINIA CARE AT PROVINCETOWN,602.96,2025-10-01,PROVINCETOWN
MA,110200806A,ADVINIACARE ABINGTON,578.00,2025-10-01,
MA,110176291A,ADVINIACARE AT NORTHBRIDGE,589.32,2025-10-01,NORTHBRIDGE
MA,110096107A,ADVINIACARE EAST BRIDGEWATER,590.93,2025-10-01,
MA,110200807A,ADVINIACARE NATICK,578.00,2025-10-01,
MA,110201178A,ADVINIACARE NEWBURYPORT,564.62,2025-10-01,NEWBURYPORT
MA,110201229A,ADVINIACARE NEWTON WELLESLEY,600.98,2025-10-01,WELLESLEY
MA,110209210A,AFFINITY HEALTHCARE,517.76,2025-10-01,BRAINTREE
MA,110204355A,AGAWAM EAST REHAB AND NURSING LLC,638.73,2025-10-01,AGAWAM
MA,110204232A,AGAWAM NORTH REHAB AND NURSING LLC,580.80,2025-10-01,AGAWAM
MA,110204454A,AGAWAM SOUTH REHAB AND NURSING LLC,603.44,2025-10-01,AGAWAM
MA,110204366A,AGAWAM WEST REHAB AND NURSING LLC,637.41,2025-10-01,AGAWAM
MA,110220587A,ALDEN COURT NURSING CARE & REHAB CTR,599.69,2025-10-01,FAIRHAVEN
MA,110025921A,ALLIANCE HEALTH AT BALDWINVILLE,603.33,2025-10-01,BALDWINVILLE
MA,110076997A,ALLIANCE HEALTH AT BRAINTREE,630.53,2025-10-01,BRAINTREE
MA,110190086A,ALLIANCE HEALTH AT MAPLES,617.40,2025-10-01,WRENTHAM
MA,110026407A,ALLIANCE HEALTH AT MARIE ESTHER HEALTH,636.89,2025-10-01,MARLBOROUGH
MA,110026579A,ALLIANCE HEALTH AT MARINA BAY,600.16,2025-10-01,QUINCY
MA,110026575A,ALLIANCE HEALTH AT ROSEWOOD,600.98,2025-10-01,PEABODY
MA,110026555A,ALLIANCE HEALTH AT WEST ACRES,630.76,2025-10-01,BROCKTON
