state,provider_number,facility_name,daily_rate,effective_date,city
MT,,Aspen Meadows Billings,283.81,2025-07-01,BILLINGS
MT,,Beartooth Rehabilitation & Nursing Columbus,287.11,2025-07-01,COLUMBUS
MT,,Benefis Skilled Nursing Center Great Falls,286.34,2025-07-01,GREAT FALLS
MT,,Billings Rehabilitation & Nursing Billings,278.75,2025-07-01,BILLINGS
MT,,Central Montana Health & Rehab Center Lewistown,283.81,2025-07-01,
MT,,Clark Fork Valley NH Plains,286.34,2025-07-01,PLAINS
MT,,Community NH of Anaconda Anaconda,286.34,2025-07-01,ANACONDA
MT,,Continental Care & Rehab (Butte Center) Butte,278.75,2025-07-01,BUTTE
MT,,Cooney Healthcare & Rehab Center Helena,278.75,2025-07-01,HELENA
MT,,Copper Ridge Butte,283.81,2025-07-01,BUTTE
MT,,Crest NH Butte,286.34,2025-07-01,BUTTE
MT,,Discovery Care Centre The Valley Health and Rehab* Hamilton,283.81,2025-07-01,HAMILTON
MT,,Eastern Montana Veterans Home Glendive,278.75,2025-07-01,GLENDIVE
MT,,Elkhorn Healthcare & Rehab Clancy,283.81,2025-07-01,CLANCY
MT,,Faith Lutheran Home Wolf Point,283.81,2025-07-01,
MT,,Gallatin Rest Home Bozeman,283.81,2025-07-01,BOZEMAN
MT,,Glendive Medical Center – NH Glendive,278.75,2025-07-01,GLENDIVE
MT,,Holy Rosary Health Center Miles City,278.75,2025-07-01,MILES CITY
MT,,Hot Springs Health & Rehab Hot Springs,286.34,2025-07-01,HOT SPRINGS
MT,,Immanuel Skilled Care Center Kalispell,283.81,2025-07-01,KALISPELL
MT,,Ivy At Deer Lodge Deer Lodge,278.75,2025-07-01,DEER LODGE
MT,,Ivy At Great Falls Great Falls,278.75,2025-07-01,
MT,,Kalispell Rehabilitation & Nursing Kalispell,278.75,2025-07-01,KALISPELL
MT,,Lakeview Rehabilitation & Nursing Bigfork,287.11,2025-07-01,
MT,,Laurel Health & Rehab Laurel,278.75,2025-07-01,LAUREL
MT,,Libby Care Center Libby,286.34,2025-07-01,LIBBY
MT,,Livingston Health & Rehab Center Livingston,283.81,2025-07-01,LIVINGSTON
MT,,Logan Health – Conrad Conrad,283.81,2025-07-01,CONRAD
MT,,Logan Health Brendan House Kalispell,286.34,2025-07-01,KALISPELL
MT,,Logan Health Care-Shelby Shelby,278.75,2025-07-01,SHELBY
MT,,Madison Valley Manor Ennis,278.75,2025-07-01,ENNIS
MT,,Missoula Health & Rehab Center Missoula,283.81,2025-07-01,MISSOULA
MT,,Montana Veterans Home – NH Columbia Falls,288.87,2025-07-01,COLUMBIA FALLS
MT,,Mount Ascension Transitional Care Helena,283.81,2025-07-01,HELENA
MT,,Mountain View Of Cascadia Eureka,286.34,2025-07-01,EUREKA
MT,,Northern Montana LTC Havre,286.34,2025-07-01,HAVRE
MT,,Northern Pines Rehab & Nursing Cut Bank,286.34,2025-07-01,CUT BANK
MT,,Park Place Health Care Center Great Falls,278.75,2025-07-01,GREAT FALLS
MT,,Pioneer Care & Rehab Dillon,278.75,2025-07-01,DILLON
MT,,Polson Health & Rehab Polson,283.81,2025-07-01,POLSON
MT,,Powder River Manor Broadus,283.81,2025-07-01,BROADUS
MT,,River Ridge Rehabilitation & Nursing (Eagle Cliff) Billings,278.75,2025-07-01,BILLINGS
MT,,Riverside Health Care Center Missoula,286.34,2025-07-01,MISSOULA
MT,,Rosebud Health Care Center – NH Forsyth,283.81,2025-07-01,FORSYTH
MT,,Sheridan Memorial NH Plentywood,283.81,2025-07-01,PLENTYWOOD
MT,,Sidney Health Center Sidney,286.34,2025-07-01,SIDNEY
MT,,Skyline Heights Nursing & Rehab Billings,278.75,2025-07-01,BILLINGS
MT,,St. John’s Lutheran Ministries Billings,286.34,2025-07-01,BILLINGS
MT,,St. Luke Community NH Ronan,286.34,2025-07-01,RONAN
MT,,SW MT Veteran’s Home Butte,286.34,2025-07-01,BUTTE
MT,,Sweet Memorial NH Chinook,283.81,2025-07-01,CHINOOK
MT,,The Living Centre Stevensville,286.34,2025-07-01,STEVENSVILLE
MT,,The Village Health Care Center Missoula,288.87,2025-07-01,MISSOULA
MT,,Tobacco Root Mountains Care Center Sheridan,283.81,2025-07-01,SHERIDAN
MT,,Valle Vista Manor Lewistown,286.34,2025-07-01,LEWISTOWN
MT,,Valley View Home Glasgow,283.81,2025-07-01,GLASGOW
MT,,Whitefish Care & Rehab Whitefish,278.75,2025-07-01,WHITEFISH
MT,,Wibaux County NH Wibaux,278.75,2025-07-01,WIBAUX
MT,,Yellowstone River Nursing & Rehab Billings,278.75,2025-07-01,BILLINGS
