state,provider_number,facility_name,daily_rate,effective_date,city
ND,,Aneta Aneta Parkview Health Center; 1457283,281.94,2025-01-01,ANETA
ND,,Ashley Ashley Medical Center SNF; 1454648,296.49,2025-01-01,ASHLEY
ND,,Beulah Knife River Care Center; 1458295,295.83,2025-01-01,BEULAH
ND,,Bismarck Augusta Place; 1481344,256.95,2025-01-01,BISMARCK
ND,,Bismarck Baptist Health Care Center; 1455496,265.80,2025-01-01,
ND,,Bismarck Benedictine Living Community - Bismarck; 1456933,283.90,2025-01-01,
ND,,Bismarck Missouri Slope Care Center; 1460704,249.17,2025-01-01,BISMARCK
ND,,Bismarck Missouri Slope North Campus; 1484425,393.53,2025-01-01,BISMARCK
ND,,Bismarck St. Vincent's; 1481343,253.66,2025-01-01,BISMARCK
ND,,Bottineau Good Samaritan Society - Bottineau; 1452016,248.97,2025-01-01,BOTTINEAU
ND,,Cando Towner County Living Center; 1460190,298.85,2025-01-01,CANDO
ND,,Carrington Golden Acres Manor; 1458468,228.19,2025-01-01,CARRINGTON
ND,,Cavalier Wedgewood Manor; 1458517,290.22,2025-01-01,CAVALIER
ND,,Cooperstown Griggs County Care Center; 1455251,270.47,2025-01-01,COOPERSTOWN
ND,,Devils Lake Eventide Heartland; 1456054,250.01,2025-01-01,DEVILS LAKE
ND,,Dickinson Benedictine Living Community - Dickinson; 1456941,262.57,2025-01-01,
ND,,Dickinson St. Luke's Home Geropsych; 1477744,417.30,2025-01-01,DICKINSON
ND,,Dickinson St. Luke's Home; 1459597,313.37,2025-01-01,DICKINSON
ND,,Dunseith Dunseith Community Nursing Home; 1455221,242.51,2025-01-01,DUNSEITH
ND,,Ellendale Benedictine Living Community - Ellendale; 1463078,217.32,2025-01-01,
ND,,Ellendale Benedictine Living Community Geropsych; 1450552,304.41,2025-01-01,
ND,,Enderlin SMP Health - Maryhill; 1455491,267.28,2025-01-01,ENDERLIN
ND,,Fargo Bethany on 42nd Skilled Care; 1456930,288.83,2025-01-01,FARGO
ND,,Fargo Bethany on University; 1460364,286.29,2025-01-01,FARGO
ND,,Fargo Elim Health Care Center; 1487615,272.29,2025-01-01,FARGO
