state,provider_number,facility_name,daily_rate,effective_date,city
NY,,A Holly Patterson Extended Care Facility,321.34,2025-01-01,UNIONDALE
NY,,Aaron Manor Rehabilitation and Nursing Center,247.80,2025-01-01,FAIRPORT
NY,,Absolut Center for Nursing and Rehabilitation at Allega,213.88,2025-01-01,PAINTED POST
NY,,Absolut Center for Nursing and Rehabilitation at Auror,245.19,2025-01-01,PAINTED POST
NY,,Absolut Center for Nursing and Rehabilitation at Endic,226.06,2025-01-01,PAINTED POST
NY,,Absolut Center for Nursing and Rehabilitation at Gaspo,234.14,2025-01-01,PAINTED POST
NY,,Absolut Center for Nursing and Rehabilitation at Three,233.27,2025-01-01,PAINTED POST
NY,,Absolut Center for Nursing and Rehabilitation at Westfi,229.48,2025-01-01,PAINTED POST
NY,,Acadia Center for Nursing and Rehabilitation,255.87,2025-01-01,RIVERHEAD
NY,,Achieve Rehab and Nursing Facility,287.65,2025-01-01,LIBERTY
NY,,Adira at Riverside Rehabilitation and Nursing,448.14,2025-01-01,YONKERS
NY,,Affinity Skilled Living and Rehabilitation Center,369.44,2025-01-01,OAKDALE
NY,,Alice Hyde Medical Center,235.24,2025-01-01,MALONE
NY,,Alpine Rehabilitation and Nursing Center,252.68,2025-01-01,LITTLE FALLS
NY,,Amsterdam Nursing Home Corp (amsterdam House),331.33,2025-01-01,
NY,,Andrus On Hudson,281.06,2025-01-01,HASTINGS ON HUDSON
NY,,Apex Rehabilitation & Care Center,321.18,2025-01-01,HUNTINGTON STATION
NY,,Atrium Center for Rehabilitation and Nursing,359.47,2025-01-01,BROOKLYN
NY,,Auburn Rehabilitation and Nursing Center,204.42,2025-01-01,AUBURN
NY,,Aurelia Osborn Fox Memorial Hospital,208.60,2025-01-01,ONEONTA
NY,,Autumn View Health Care Facility LLC,248.65,2025-01-01,HAMBURG
NY,,Avon Nursing Home LLC,222.35,2025-01-01,AVON
NY,,Bainbridge Nursing And Rehabilitation Center,276.25,2025-01-01,BRONX
NY,,Baptist Health Nursing And Rehabilitation Center Inc,213.30,2025-01-01,SCOTIA
NY,,Bayberry Nursing Home,219.70,2025-01-01,NEW ROCHELLE
NY,,Beach Gardens Rehab and Nursing Center,328.95,2025-01-01,FAR ROCKAWAY
NY,,Beach Terrace Care Center,285.64,2025-01-01,LONG BEACH
NY,,Beacon Rehabilitation and Nursing Center,328.32,2025-01-01,ROCKAWAY PARK
NY,,Bedford Center for Nursing and Rehabilitation,352.02,2025-01-01,BROOKLYN
