state,facility_name,state_facility_id,daily_rate,effective_date,source_file
OH,"Summit Acres, Inc.",1487685566,251.84,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Avenue At Brooklyn,1578137006,304.71,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Seven Acres Senior Living,1053029124,295.98,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Fairlawn Haven,1003813148,297.86,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Tamarack Ridge Health & Rehabilitation,1730815283,291.38,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Best Care Health And Rehabilitation,1265144364,236.53,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Bradford Place Care Center,1821700923,299.72,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Siena Woods Care Center,1689386781,275.51,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Allbridge Rehabilitation And Nursing Center,1306501465,315.01,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,The Widows Home Of Dayton,1497452619,294.57,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Vancrest Of Upper Sandusky,1093404857,259.92,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Medina Bsd Opco Llc,1205526324,278.98,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Brookdale Westlake Village,1083864854,214.25,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,St Theresa Care Center,1558051698,233.71,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Snf-The Villa At Marymount,1851085039,288.71,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Monterey Care Center,1245239862,254.43,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Momentous Health At Franklin,1982389094,279.9,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,West View Healthy Living,1740213842,262.01,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Jewish Home For The Aged,1861419814,295.78,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Ohio Living Rockynol,1366438368,246.27,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Good Shepherd Home,1487653457,280.54,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Broadview Multi-Care Center,1508853383,294.14,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Adams County Manor,1548368251,269.13,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Pleasantview Care Center,1255432589,308.6,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,"Carecore At Margaret Hall, Llc",1679358139,252.13,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Concord Ridge Health And Rehabilitation,1285416883,282.55,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Serenity Spring Senior Living At Arlington,1407637424,239.01,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Luxe Rehabilitation And Care Center,1104693456,294.71,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Scioto Rehabilitation & Care Center,1649047994,282.45,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Llanfair Retirement Community,1366438343,288.72,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Ohio Living Westminster-Thurber,1275529273,231.18,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Wexner Heritage House,1932197704,315.2,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Ohman Family Living At Holly,1144392523,298.82,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Mount Pleasant Retirement Village,1821084807,302.68,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,King David Post Acute Nursing & Rehabilitation,1144007840,278.76,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Tranquility Of Richmond Heights,1396512356,239.38,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Daughters Of Miriam Center For Nursing &,1548048598,280.66,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Embassy Of Willard,1184492894,256.92,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,The Oaks Of West Kettering,1558139857,258.52,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Beechwood Home,1306849245,262.79,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Liberty Station Health Campus,1609557941,229.4,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Ohman Family Living At Briar,1952388415,313.03,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Wayside Farms Inc,1306870738,279.1,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Marjorie P. Lee Community,1437130556,215.56,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Louisville Gardens Care Center,1669223491,271.05,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,The Atlantes Health Care And Rehabilitation,1770344947,240.81,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,The Willows At Bowling Green,1578244166,233.05,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Mckinley Health Care Center (The),1023857992,257.65,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Bethesda Care Center,1932942984,247.54,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Rae-Ann Westlake,1093705717,290.22,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Hawthorn Glen Nursing Center,1548016637,243.04,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Greenbriar Nursing Center,1497501589,249.01,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Walnut Creek Nursing Center,1164279022,247.64,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Autumnwood Care Center,1891539623,301.65,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Hudson Springs Nursing And Rehab,1295578243,309.3,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Copper Knoll Health And Rehab,1013763309,263.06,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Laurels Of Athens (The),1033405170,229.76,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
OH,Arc At Trotwood,1679324651,281.17,2025-07-01,NF-Rates-7.1.25-as-of-10.1.25.pdf
