state,provider_number,facility_name,daily_rate,effective_date,city
SD,,Aberdeen Healthcare Center Inc. D.B.A. Aberedeen Living Center,247.84,2025-07-01,
SD,,Aberdeen Nursing and Rehab Center,265.74,2025-07-01,DELL RAPIDS
SD,,Alcester Care & Rehab,172.65,2025-07-01,ALCESTER
SD,,"AURORA BRULE NURSING HOME, INC",177.45,2025-07-01,WHITE LAKE
SD,,Avantara Arrowhead,235.81,2025-07-01,RAPID CITY
SD,,Avantara Clark City,215.46,2025-07-01,CLARK
SD,,Avantara Groton,227.02,2025-07-01,GROTON
SD,,Avantara Huron,205.96,2025-07-01,HURON
SD,,Avantara Lake Norden,211.67,2025-07-01,LAKE NORDEN
SD,,Avantara Milbank,207.17,2025-07-01,MILBANK
SD,,Avantara Mountain View,220.58,2025-07-01,RAPID CITY
SD,,Avantara North,244.60,2025-07-01,RAPID CITY
SD,,Avantara Norton,222.48,2025-07-01,SIOUX FALLS
SD,,Avantara Pierre,238.76,2025-07-01,PIERRE
SD,,Avantara Redfield,181.09,2025-07-01,REDFIELD
SD,,Avantara St. Cloud,201.67,2025-07-01,RAPID CITY
SD,,Avantara Watertown,222.09,2025-07-01,WATERTOWN
SD,,Avera McKennan Hospital DBA Avera Prince of Peace,298.80,2025-07-01,SIOUX FALLS
SD,,AVERA QUEEN OF PEACE D/B/A AVERA BRADY HEALTH & REHAB,291.41,2025-07-01,MITCHELL
SD,,AVERA ROSEBUD COUNTRY CARE CTR,283.17,2025-07-01,GREGORY
SD,,AVERA SR JAMES/AVERA YANKTON CARE CENTER,295.27,2025-07-01,GREGORY
SD,,Avera St. Benedict Health Center - Bormann Manor,297.96,2025-07-01,IRENE
SD,,Avera St. Luke's d/b/a Avera Eureka Health Care Center,253.52,2025-07-01,EUREKA
SD,,Avera St. Luke's D/B/A Avera Mother Joseph Manor,296.21,2025-07-01,ABERDEEN
SD,,Bethany Lutheran Home for the Aged Inc.,228.01,2025-07-01,MADISON
SD,,Bethany Lutheran Home for the Aged Inc.-Brandon,258.01,2025-07-01,MADISON
SD,,BETHEL LUTHERAN HOME,247.79,2025-07-01,MADISON
SD,,BETHESDA HOME OF ABERDEEN,272.33,2025-07-01,ABERDEEN
SD,,"Bethesda Home, Inc.",220.81,2025-07-01,WEBSTER
SD,,Bethesda of Beresford,257.82,2025-07-01,BERESFORD
SD,,Bowdle Healthcare Center Nursing Home,264.91,2025-07-01,BOWDLE
SD,,Bridgewater Healthcare Center / Diamond Care Center,164.13,2025-07-01,BRIDGEWATER
SD,,Brookings Hospital/Brookview Manor,282.15,2025-07-01,BROOKINGS
SD,,Centerville Care & Rehab,166.94,2025-07-01,CENTERVILLE
SD,,Custer Care and Rehab Center,334.41,2025-07-01,CENTERVILLE
SD,,DELL RAPIDS NURSING HOME D/B/A/ TERRACE MANOR,177.79,2025-07-01,DELL RAPIDS
SD,,Dow Rummel,294.91,2025-07-01,SIOUX FALLS
SD,,"Eastern Star Home of SD, Inc.",250.38,2025-07-01,
SD,,Estelline Nursing & Care Center,242.86,2025-07-01,ESTELLINE
SD,,Faulkton Healthcare Center,256.12,2025-07-01,FAULKTON
SD,,Firesteel Healthcare Center,214.12,2025-07-01,MITCHELL
SD,,Five Counties Nursing Home,239.99,2025-07-01,LEMMON
SD,,Fountain Springs Health Care Center,271.97,2025-07-01,RAPID CITY
SD,,FREEMAN REGIONAL HEALTH SERVICES DBA OAKVIEW TERRACE,254.96,2025-07-01,FREEMAN
SD,,GETTYSBURG MEDICAL CENTER DBA OAHE MANOR,294.12,2025-07-01,
SD,,Good Samaritan Society - Canistota,260.20,2025-07-01,CANISTOTA
SD,,Good Samaritan Society - Canton,249.14,2025-07-01,CANTON
SD,,Good Samaritan Society - Corsica,237.89,2025-07-01,CORSICA
SD,,Good Samaritan Society - DeSmet,231.81,2025-07-01,DE SMET
SD,,Good Samaritan Society - Howard,196.93,2025-07-01,HOWARD
SD,,Good Samaritan Society - Lutheran Manor,256.64,2025-07-01,SIOUX FALLS
SD,,Good Samaritan Society - Miller,247.46,2025-07-01,MILLER
SD,,Good Samaritan Society - New Underwood,245.64,2025-07-01,NEW UNDERWOOD
SD,,Good Samaritan Society - Scotland,252.55,2025-07-01,SCOTLAND
SD,,Good Samaritan Society - Sioux Falls Center,258.52,2025-07-01,SIOUX FALLS
SD,,Good Samaritan Society - Sioux Falls Village,274.86,2025-07-01,SIOUX FALLS
SD,,Good Samaritan Society - St. Martin Village,285.81,2025-07-01,RAPID CITY
SD,,Good Samaritan Society - Tyndall,234.50,2025-07-01,TYNDALL
SD,,Highmore Healthcare Center,198.98,2025-07-01,HIGHMORE
SD,,Jenkin's Living Center,275.62,2025-07-01,WATERTOWN
SD,,Kadoka Nursing Home,213.63,2025-07-01,
SD,,Lake Andes Healthcare Center,218.92,2025-07-01,LAKE ANDES
SD,,Maryhouse,298.60,2025-07-01,PIERRE
SD,,"MENNO-OLIVET CARE CENTER, INC.",239.16,2025-07-01,MENNO
SD,,Palisade Manor Nursing Home,238.48,2025-07-01,GARRETSON
SD,,Philip Health Services Inc.,250.90,2025-07-01,
SD,,Pioneer Memorial Nursing Home,260.98,2025-07-01,VIBORG
SD,,"Platte Health Center, Inc.",324.76,2025-07-01,
SD,,Prarie View Healthcare Center,228.78,2025-07-01,WOONSOCKET
SD,,Riverview Healthcare Center,246.03,2025-07-01,FLANDREAU
SD,,Rolling Hills Helath Care,245.87,2025-07-01,BELLE FOURCHE
SD,,Sanford Mid-Dakota LTC,325.47,2025-07-01,
SD,,SANFORD VERMILLION CARE CENTER,223.38,2025-07-01,
SD,,Seven Sisters Living Center,282.87,2025-07-01,HOT SPRINGS
SD,,Spearfish Canyon Healthcare,248.19,2025-07-01,SPEARFISH
SD,,St. Williams Care Center,267.54,2025-07-01,MILBANK
SD,,STRAND-KJORSVIG COMMUNITY REST HOME,209.49,2025-07-01,ROSLYN
