state,provider_number,facility_name,daily_rate,effective_date,city
UT,1942650148,Alpine Meadow Rehabilitation and Nursing,568.18,2025-10-01,WEST VALLEY CITY
UT,1114253275,Avalon Care Center VA Ogden,555.70,2025-10-01,OGDEN
UT,1205177722,Avalon VA Central Utah Payson,555.70,2025-10-01,PAYSON
UT,1366783466,Avalon VA Southern Utah Ivans,555.70,2025-10-01,IVINS
UT,1972754133,Avalon VA Utah State,555.70,2025-10-01,SALT LAKE CITY
UT,1164881025,Bella Terra St George,562.80,2025-10-01,ST GEORGE
UT,1881991701,Canyonlands Care Center,512.77,2025-10-01,HOLLADAY
UT,1164889457,Cascades at Orchard Park,581.11,2025-10-01,OREM
UT,1215344163,Cascades at Riverwalk,630.92,2025-10-01,MIDVALE
UT,1740648989,Cedar Health and Rehabilitation,554.72,2025-10-01,CEDAR CITY
UT,1770036790,City Creek Post Acute,545.48,2025-10-01,SALT LAKE CITY
UT,1235682519,Copper Ridge Health Care,562.15,2025-10-01,WEST JORDAN
UT,1992196646,Coral Desert Rehab and Care,555.70,2025-10-01,SAINT GEORGE
UT,1235587577,Crestwood Rehabilitation and Nursing,578.01,2025-10-01,OGDEN
UT,1649621707,Draper Rehabilitation and Care Center,553.46,2025-10-01,DRAPER
UT,1194715789,Emery County Care and Rehab Center,529.11,2025-10-01,DRAPER
UT,1144528290,Four Corners Regional Care,508.25,2025-10-01,BLANDING
UT,1467999524,Garfield County Nursing Home,514.59,2025-10-01,
UT,1346784402,Harrison Pointe Healthcare and Rehabilitation,553.49,2025-10-01,OGDEN
UT,1194257584,Heritage Park Healthcare and Rehabilitation,538.27,2025-10-01,ROY
UT,1164651444,Highland Care Center,532.63,2025-10-01,HOLLADAY
UT,1962955237,Holladay Healthcare Center,569.17,2025-10-01,SALT LAKE CITY
UT,1235682501,Hurricane Health and Rehabilitation,569.41,2025-10-01,HURRICANE
UT,1225061229,Life Care Center of SLC,555.70,2025-10-01,
UT,1659709061,Little Cottonwood Rehab,568.54,2025-10-01,
UT,1538547641,Lomond Peak Nurs Rehab,566.72,2025-10-01,
UT,1720328529,Maple Ridge Rehabilitation and Nursing,564.04,2025-10-01,OGDEN
UT,1649673088,Maple Springs,534.27,2025-10-01,BRIGHAM CITY
UT,1245657501,Meadow Brook Rehab and Nurs,577.04,2025-10-01,SALT LAKE CITY
UT,1548013352,Meadow Peak Rehabilitation,580.57,2025-10-01,TAYLORSVILLE
UT,1487498978,Midtown Manor,590.66,2025-10-01,SALT LAKE CITY
UT,1851579072,Millard Co Care and Rehab Inc,510.59,2025-10-01,DELTA
UT,1023480225,Millcreek Rehab and Nursing,557.32,2025-10-01,SALT LAKE CITY
UT,1669904439,Mission Alpine Rehab Center,526.39,2025-10-01,PLEASANT GROVE
UT,1053731943,Mission Community Living Rehab,514.73,2025-10-01,CENTERFIELD
UT,1841058641,Monument Healthcare Bountiful,567.76,2025-10-01,BOUNTIFUL
UT,1386744183,Mountain View Hlth Srvcs,496.68,2025-10-01,OGDEN
UT,1962955229,Mt Ogden Health and Rehabilitation,567.38,2025-10-01,WASHINGTON TERRACE
UT,1902130222,Mt Olympus Rehab Center,578.10,2025-10-01,SALT LAKE CITY
UT,1609306091,Neurorestorative,638.41,2025-10-01,RIVERTON
UT,1699126862,Orem Rehabilitation and Nursing Center,578.77,2025-10-01,OREM
UT,1235682592,Paramount Health and Rehabilitation,540.32,2025-10-01,SALT LAKE CITY
UT,1154629350,Parkdale Health Rehab,561.84,2025-10-01,PRICE
UT,1184118390,Parkway Health Center,575.18,2025-10-01,PAYSON
UT,1952708182,Pine Creek Rehab and Nurs,561.74,2025-10-01,SALT LAKE CITY
UT,1336692698,Pinnacle Nursing and Rehabilitation Center,546.15,2025-10-01,PRICE
UT,1629541610,Pointe Meadows Health and Rehabilitation,566.87,2025-10-01,LEHI
UT,1710431861,Provo Rehabilitation and Nursing,569.61,2025-10-01,PROVO
UT,1932407137,Red Cliffs Health and Rehab,571.01,2025-10-01,ST GEORGE
UT,1629075361,Rocky Mountain Care - Clearfield,559.21,2025-10-01,CLEARFIELD
UT,1710217773,Rocky Mountain Care - Cottage Vine,560.02,2025-10-01,MURRAY
UT,1053318881,Rocky Mountain Care - Hunter Hollow,573.35,2025-10-01,WEST VALLEY CITY
UT,1952416679,Rocky Mountain Care - Logan,534.07,2025-10-01,LOGAN
UT,1063742021,Rocky Mountain Care - Riverton,555.70,2025-10-01,RIVERTON
UT,1407853245,Rocky Mountain Care - The Lodge,554.95,2025-10-01,HEBER CITY
UT,1518964352,Rocky Mountain Care - Willow Springs,534.30,2025-10-01,TOOELE
UT,1306319140,Sandstone American Fork,520.11,2025-10-01,AMERICAN FORK
UT,1508339367,Sandstone Bountiful,543.68,2025-10-01,BOUNTIFUL
UT,1922599950,Sandstone Brigham City,569.66,2025-10-01,BRIGHAM CITY
UT,1861965600,Sandstone Canyon Rim,516.05,2025-10-01,MILLCREEK
UT,1124591987,Sandstone Holladay,492.32,2025-10-01,MILLCREEK
UT,1174014286,Sandstone Millcreek,592.57,2025-10-01,SALT LAKE CITY
UT,1689165797,Sandstone Nephi,562.09,2025-10-01,
UT,1750872867,Sandstone Pioneer Trail,546.98,2025-10-01,BRIGHAM CITY
UT,1932672771,Sandstone Richfield,569.27,2025-10-01,RICHFIELD
UT,1780157529,Sandstone South Lake,552.64,2025-10-01,SOUTH SALT LAKE
UT,1134610249,Sandstone Taylorsville,563.49,2025-10-01,TAYLORSVILLE
UT,1548568744,Sandy Health and Rehab,550.37,2025-10-01,SANDY
UT,1174017396,Seasons Health and Rehabilitation,537.80,2025-10-01,SANDY
UT,1962252213,South Davis Specialty Care,735.67,2025-10-01,BOUNTIFUL
UT,1861878266,South Ogden Post Acute,562.90,2025-10-01,OGDEN
UT,1578939427,Spanish Fork Rehab and Nurse,556.26,2025-10-01,SPANISH FORK
UT,1598990699,Spring Creek Healthcare Center,568.39,2025-10-01,SALT LAKE CITY
UT,1013452481,St George Rehabilitation,574.71,2025-10-01,ST GEORGE
UT,1477007524,St Joseph Villa,552.86,2025-10-01,SALT LAKE CITY
UT,1255612487,Stonehenge of American Fork,536.85,2025-10-01,AMERICAN FORK
UT,1720127608,Stonehenge of Cedar City,494.76,2025-10-01,CEDAR CITY
