state,provider_number,facility_name,daily_rate,effective_date,city
VT,,Bel Aire Quality Care,289.15,2025-07-01,NEWPORT
VT,,Bennington Health and Rehab Center,476.87,2025-07-01,SAINT ALBANS
VT,,Berlin Health and Rehab Center,443.42,2025-07-01,BARRE
VT,,Birchwood Terrace,311.88,2025-07-01,BURLINGTON
VT,,Burlington Health and Rehabilitation Center,463.61,2025-07-01,BURLINGTON
VT,,Cedar Hill Health Care Center,383.95,2025-07-01,WINDSOR
VT,,Center for Liviing & Rehabilitation,371.46,2025-07-01,BENNINGTON
VT,,Crescent Manor Care Centers,315.30,2025-07-01,BENNINGTON
VT,,Elderwood,420.98,2025-07-01,BURLINGTON
VT,,Franklin County Rehab,460.00,2025-07-01,SAINT ALBANS
VT,,Gifford Retirement Community,508.88,2025-07-01,
VT,,Gill Odd Fellows Home of Vermont,379.82,2025-07-01,LUDLOW
VT,,Green Mountain Nursing and Rehabilitation,340.07,2025-07-01,COLCHESTER
VT,,Greensboro Nursing Home,325.72,2025-07-01,GREENSBORO
VT,,Helen Porter Nursing Home,464.79,2025-07-01,MIDDLEBURY
VT,,Maple Lane Nursing Home,314.36,2025-07-01,BARTON
VT,,Mayo Nursing Home,447.31,2025-07-01,NORTHFIELD
VT,,Pine Heights at Brattleboro,388.12,2025-07-01,BRATTLEBORO
VT,,Pine Heights at Rutland,345.46,2025-07-01,RUTLAND
VT,,Rutland Healthcare and Rehabilitation,324.86,2025-07-01,RUTLAND
VT,,Springfield Health and Rehab Center,399.09,2025-07-01,SAINT ALBANS
VT,,St. Albans Healthcare and Rehabilitation,363.37,2025-07-01,SAINT ALBANS
VT,,St. Johnsbury Health and Rehab Center,407.84,2025-07-01,SAINT JOHNSBURY
VT,,The Manor Inc.,333.15,2025-07-01,MORRISVILLE
VT,,The Pines Rehabilitation & Health Center,381.16,2025-07-01,LYNDONVILLE
VT,,The Villa Rehab Center,437.17,2025-07-01,RUTLAND
VT,,Thompson House,420.66,2025-07-01,BRATTLEBORO
VT,,Union House Nursing Home,379.79,2025-07-01,GLOVER
VT,,Vermont Veterans' Home,475.00,2025-07-01,BENNINGTON
VT,,Vernon Green Nursing Home,399.25,2025-07-01,VERNON
VT,,Woodridge Nursing Home,509.89,2025-07-01,BERLIN
