state,provider_number,facility_name,daily_rate,effective_date,city
WA,1690.0,AGILITY HEALTH AND REHABILITATION,410.29,2026-01-01,
WA,1641.0,ALASKA GARDENS HEALTH AND REHABILITATION CENTER,361.72,2026-01-01,
WA,1102.0,ALDERWOOD MANOR,366.74,2026-01-01,
WA,1735.0,ALDERWOOD PARK HEALTH AND REHABILITATION OF CASCADIA,381.95,2026-01-01,
WA,1660.0,ALDERWOOD POST ACUTE & REHABILITATION,410.58,2026-01-01,
WA,1687.0,AMERICANA HEALTH & REHABILITATION CENTER,368.06,2026-01-01,
WA,1640.0,ARCADIA MEDICAL RESORT OF PARKSIDE,413.22,2026-01-01,
WA,1334.0,ARLINGTON HEALTH AND REHABILITATION,410.69,2026-01-01,
WA,1642.0,AUBURN POST ACUTE,381.06,2026-01-01,
WA,1725.0,AURORA VALLEY CARE,389.10,2026-01-01,
WA,1355.0,"AVALON CARE CENTER - FEDERAL WAY, LLC",394.79,2026-01-01,
WA,1358.0,AVALON CARE CENTER AT NORTHPOINTE,361.10,2026-01-01,
WA,1362.0,AVALON HEALTH & REHABILITATION CENTER - PASCO,372.62,2026-01-01,
WA,1719.0,AVALON HEALTHCARE - BELLINGHAM,378.53,2026-01-01,
WA,1721.0,AVALON HEALTHCARE - TACOMA,381.10,2026-01-01,
WA,1405.0,AVAMERE AT PACIFIC RIDGE,393.75,2026-01-01,
WA,1374.0,AVAMERE OLYMPIC REHABILITATION OF SEQUIM,409.79,2026-01-01,
WA,1662.0,AVAMERE REHABILITATION AT PARK WEST,389.81,2026-01-01,
WA,1675.0,AVAMERE REHABILITATION AT RIDGEMONT,395.01,2026-01-01,
WA,1658.0,AVAMERE REHABILITATION OF BURIEN,428.69,2026-01-01,
WA,1508.0,AVAMERE REHABILITATION OF CASCADE PARK,406.42,2026-01-01,
WA,1663.0,AVAMERE REHABILITATION OF ISSAQUAH,491.39,2026-01-01,
WA,1664.0,AVAMERE REHABILITATION OF SHORELINE,392.45,2026-01-01,
WA,1542.0,AVAMERE TRANSITIONAL CARE OF PUGET SOUND,439.27,2026-01-01,
WA,1106.0,BAILEY-BOUSHAY HOUSE,1310.16,2026-01-01,
WA,1674.0,BAINBRIDGE ISLAND HEALTH & REHABILITATION CENTER,394.74,2026-01-01,
WA,1622.0,BALLARD CENTER,343.45,2026-01-01,
WA,1466.0,BEACON HILL REHABILITATION,411.48,2026-01-01,
WA,1742.0,BELLEVUE POST ACUTE,401.74,2026-01-01,
WA,1676.0,BELMONT TERRACE,412.04,2026-01-01,
WA,1363.0,BENSON HEIGHTS REHABILITATION CENTER,357.58,2026-01-01,
WA,1290.0,BETHANY AT PACIFIC,433.07,2026-01-01,
WA,1049.0,BETHANY AT SILVER LAKE,465.91,2026-01-01,
WA,1661.0,BIRCH CREEK POST ACUTE & REHABILITATION,375.90,2026-01-01,
WA,1439.0,BOTHELL HEALTH CARE,493.30,2026-01-01,
WA,1731.0,BREMERTON TRAILS POST ACUTE,370.82,2026-01-01,
WA,1705.0,BRIDGE CREST POST ACUTE,377.00,2026-01-01,
WA,1743.0,BROOKFIELD HEALTH AND REHABILITATION OF CASCADIA,416.88,2026-01-01,
WA,1683.0,BUENA VISTA HEALTHCARE,369.34,2026-01-01,
WA,1681.0,CANTERBURY HOUSE,431.04,2026-01-01,
WA,658.0,"CAROLINE KLINE GALLAND HOME, THE",472.31,2026-01-01,
WA,1718.0,CASCADES AT ST ANNE,460.26,2026-01-01,
WA,1588.0,CASHMERE POST ACUTE,338.08,2026-01-01,
WA,1714.0,CEDAR RIVER HEALTHCARE CENTER,466.63,2026-01-01,
WA,732.0,CHENEY CARE CENTER,421.00,2026-01-01,
WA,1322.0,CHRISTIAN HEALTH CARE CENTER,443.46,2026-01-01,
WA,1737.0,CLARKSTON HEALTH AND REHABILITATION OF CASCADIA,367.23,2026-01-01,
WA,1745.0,"COLFAX OF CASCADIA, LLC",393.77,2026-01-01,
WA,1699.0,COLONIAL VISTA POST ACUTE,340.56,2026-01-01,
WA,8845.0,COLUMBIA BASIN HOSPITAL,298.37,2026-01-01,
WA,1504.0,COLUMBIA CREST CENTER,349.89,2026-01-01,
WA,48.0,COLUMBIA LUTHERAN HOME,479.70,2026-01-01,
WA,1744.0,"COLVILLE OF CASCADIA, LLC",379.61,2026-01-01,
WA,764.0,COLVILLE TRIBAL CONVALESCENT CENTER,301.18,2026-01-01,
WA,1113.0,CORWIN CENTER AT EMERALD HEIGHTS,398.08,2026-01-01,
WA,1368.0,COTTESMORE OF LIFE CARE,353.42,2026-01-01,
WA,1231.0,COVENANT SHORES HEALTH CENTER,355.07,2026-01-01,
WA,1657.0,CRESCENT HEALTH CARE,359.48,2026-01-01,
WA,1615.0,CRYSTAL COVE POST ACUTE,359.16,2026-01-01,
WA,1741.0,EDMONDS POST ACUTE,384.54,2026-01-01,
WA,601.0,ELISEO,433.58,2026-01-01,
WA,1366.0,EMERALD CARE,382.08,2026-01-01,
WA,1682.0,ENUMCLAW HEALTH & REHABILITATION CENTER,382.65,2026-01-01,
WA,1505.0,EVERETT CENTER,505.31,2026-01-01,
WA,1617.0,EVERETT TRANSITIONAL CARE SERVICES,393.65,2026-01-01,
WA,1728.0,FIR LANE CARE,367.32,2026-01-01,
WA,1685.0,FRONTIER REHABILITATION & EXTENDED CARE CENTER,338.90,2026-01-01,
WA,1437.0,GARDEN VILLAGE,314.89,2026-01-01,
WA,1659.0,GIG HARBOR HEALTH & REHABILITATION,353.78,2026-01-01,
WA,1422.0,GOOD SAMARITAN HEALTH CARE CENTER,372.48,2026-01-01,
WA,1356.0,GRAYS HARBOR HEALTH & REHABILITATION CENTER,376.81,2026-01-01,
WA,1076.0,HALLMARK MANOR,360.59,2026-01-01,
WA,1618.0,HEARTWOOD EXTENDED HEALTHCARE,354.06,2026-01-01,
WA,1738.0,HIGHLAND HEALTH AND REHABILITATION OF CASCADIA,343.07,2026-01-01,
WA,1734.0,HUDSON BAY HEALTH AND REHABILITATION,409.40,2026-01-01,
WA,143.0,JOSEPHINE CARING COMMUNITY,481.26,2026-01-01,
WA,797.0,JUDSON PARK HEALTH CENTER,432.28,2026-01-01,
WA,1221.0,KIN ON HEALTH CARE CENTER,411.15,2026-01-01,
WA,1704.0,LACAMAS CREEK POST ACUTE,397.92,2026-01-01,
WA,1666.0,LACEY POST ACUTE & REHABILITATION,361.00,2026-01-01,
WA,1506.0,LAKE RIDGE CENTER,332.68,2026-01-01,
WA,1372.0,LANDMARK CARE AND REHABILITATION,373.79,2026-01-01,
WA,1551.0,LEA HILL REHABILITATION AND CARE CENTER,410.78,2026-01-01,
WA,1107.0,LIFE CARE CENTER OF FEDERAL WAY,377.59,2026-01-01,
WA,1381.0,LIFE CARE CENTER OF KENNEWICK,351.41,2026-01-01,
WA,1419.0,LIFE CARE CENTER OF KIRKLAND,384.96,2026-01-01,
WA,1393.0,LIFE CARE CENTER OF MOUNT VERNON,370.56,2026-01-01,
WA,1418.0,LIFE CARE CENTER OF PORT ORCHARD,363.80,2026-01-01,
WA,1196.0,LIFE CARE CENTER OF PORT TOWNSEND,330.17,2026-01-01,
WA,1387.0,LIFE CARE CENTER OF PUYALLUP,384.46,2026-01-01,
WA,1383.0,LIFE CARE CENTER OF RICHLAND,353.88,2026-01-01,
WA,1388.0,LIFE CARE CENTER OF SKAGIT VALLEY,384.01,2026-01-01,
WA,1619.0,LINDEN GROVE HEALTH CARE CENTER,367.54,2026-01-01,
WA,1696.0,LINDEN POST ACUTE,364.19,2026-01-01,
WA,1478.0,LYNNWOOD POST ACUTE REHABILITATION CENTER,454.98,2026-01-01,
WA,1692.0,MADISON POST ACUTE,430.46,2026-01-01,
WA,1723.0,MARIANWOOD HEALTH AND REHABILITATION,470.27,2026-01-01,
WA,1216.0,MARTHA & MARY HEALTH SERVICES,403.95,2026-01-01,
WA,1534.0,MARYSVILLE CARE CENTER,422.87,2026-01-01,
WA,867.0,MCKAY HEALTHCARE & REHAB CENTER,350.26,2026-01-01,
WA,1645.0,MIRA VISTA CARE CENTER,388.18,2026-01-01,
WA,1501.0,MIRABELLA,267.34,2026-01-01,
WA,1624.0,MONTESANO HEALTH-REHAB CENTER,392.21,2026-01-01,
WA,1701.0,MOUNTAIN VIEW POST ACUTE,369.05,2026-01-01,
WA,1463.0,MOUNTAIN VIEW REHABILITATION AND CARE CENTER,412.82,2026-01-01,
WA,1333.0,MT BAKER CARE CENTER,351.74,2026-01-01,
WA,1693.0,NORTH AUBURN REHABILITATION & HEALTH CENTER,400.68,2026-01-01,
WA,1647.0,NORTH BEND POST ACUTE,366.84,2026-01-01,
WA,1680.0,NORTH CASCADES HEALTH & REHABILITATION CENTER,368.45,2026-01-01,
WA,1571.0,NORTH CENTRAL CARE CENTER,363.86,2026-01-01,
WA,107.0,NORTH VALLEY HOSPITAL,320.04,2026-01-01,
WA,1589.0,NORTHWOODS LODGE,326.24,2026-01-01,
WA,1673.0,OLYMPIA TRANSITIONAL CARE AND REHABILITATION,427.60,2026-01-01,
WA,1747.0,OLYMPIC VIEW POST ACUTE,352.60,2026-01-01,
WA,1623.0,ORCHARD PARK HEALTH CARE & REHABILITATION CENTER,388.56,2026-01-01,
WA,1729.0,OTHELLO POST ACUTE,365.50,2026-01-01,
WA,1477.0,PACIFIC CARE AND REHABILITATION,438.48,2026-01-01,
WA,507.0,PANORAMA CITY CONVALESCENT & REHAB CENTER,400.82,2026-01-01,
WA,1476.0,PARK MANOR REHABILITATION CENTER,397.51,2026-01-01,
WA,1424.0,PARK ROSE CARE CENTER,479.36,2026-01-01,
WA,489.0,PARK SHORE,304.83,2026-01-01,
WA,1697.0,PINE RIDGE POST ACUTE,389.80,2026-01-01,
WA,1730.0,PORT WASHINGTON POST ACUTE,367.16,2026-01-01,
