company_id,company_name,company_type,property_id,ccn,facility_name,crm_type,current_atlas_type
221,INFINITY HEALTHCARE CONSULTING,owner_operator,9345,365893,BEREA CENTER,Type2,property_owner
221,INFINITY HEALTHCARE CONSULTING,owner_operator,2523,115570,CAMELLIA GARDENS OF LIFE CARE,Owner,facility_operator
221,INFINITY HEALTHCARE CONSULTING,owner_operator,10825,415053,CHERRY HILL MANOR,Owner,facility_operator
221,INFINITY HEALTHCARE CONSULTING,owner_operator,8977,365304,CLIFTON HEALTHCARE CENTER,Type2,property_owner
221,INFINITY HEALTHCARE CONSULTING,owner_operator,5279,215231,CLINTON HEALTHCARE  CENTER,Type2,property_owner
221,INFINITY HEALTHCARE CONSULTING,owner_operator,9272,365771,COPLEY HEALTH CENTER,Type2,property_owner
221,INFINITY HEALTHCARE CONSULTING,owner_operator,11245,445310,DIVERSICARE OF COPPER BASIN,Owner,property_seller
221,INFINITY HEALTHCARE CONSULTING,owner_operator,5335,215336,HAGERSTOWN HEALTHCARE CENTER,Type2,property_owner
221,INFINITY HEALTHCARE CONSULTING,owner_operator,2217,106047,LIFE CARE CENTER AT INVERRARY,Owner,facility_operator
221,INFINITY HEALTHCARE CONSULTING,owner_operator,11240,445302,LIFE CARE CENTER OF ELIZABETHTON,Owner,facility_operator
221,INFINITY HEALTHCARE CONSULTING,owner_operator,2386,115347,LIFE CARE CENTER OF GWINNETT,Owner,facility_operator
221,INFINITY HEALTHCARE CONSULTING,owner_operator,11246,445314,LIFE CARE CENTER OF MORRISTOWN,Type2,property_owner
221,INFINITY HEALTHCARE CONSULTING,owner_operator,11772,495139,LIFE CARE CENTER OF NEW MARKET,Owner,facility_operator
221,INFINITY HEALTHCARE CONSULTING,owner_operator,11364,445511,LIFE CARE CENTER OF OOLTEWAH,Owner,facility_operator
221,INFINITY HEALTHCARE CONSULTING,owner_operator,2584,115659,LIFE CARE CTR OF LAWRENCEVILLE,Owner,facility_operator
